arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,is_holdout,holding_days,top_n,n_veto,veto_rate,n_bandexp_blocked_pool,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_BandExp,3,2025-05-27,2025-05-23,2025-06-10,2025-06-09,SW2,1,10,20,3,0.15,124,RGC;TOI;NUTX;PRCH;TMC;MVST;HRTG;MNTN;PRE;HNRG;RLMD;TMDX;MLYS;THM;SLS;SLNO;STRL;PPTA;SMR;LMB,TOI;NUTX;TMC;MVST;HRTG;MNTN;PRE;HNRG;TMDX;MLYS;THM;SLS;SLNO;STRL;PPTA;SMR;LMB;VFF;NAK;KFS,PRCH;RGC;RLMD,KFS;NAK;VFF,0.007273241540587993,0.0002024078164444415,0.0001274078164444415,7.500000000000001e-05
Arm_BandExp,3,2025-06-10,2025-06-09,2025-06-25,2025-06-24,SW2,1,10,20,4,0.2,109,RGC;TOI;SBET;MFI;MVST;RLMD;NUTX;TMC;NVTS;TMDX;PAYS;SMR;HRTG;HOOD;NBIS;TNGX;OCGN;LEU;LASR;KFS,TOI;MFI;MVST;NUTX;TMC;NVTS;TMDX;PAYS;SMR;HRTG;HOOD;NBIS;OCGN;LEU;LASR;KFS;MNTN;STRL;FBRX;RDW,RGC;RLMD;SBET;TNGX,FBRX;MNTN;RDW;STRL,0.043811459426452,0.08447796986795839,0.08437796986795838,0.0001
Arm_BandExp,3,2025-06-25,2025-06-24,2025-07-10,2025-07-09,SW2,1,10,20,4,0.2,104,RGC;MFI;TMC;MVST;TNGX;NVTS;LEU;PAYS;SMR;LCTX;LASR;GNE;PARR;HTZ;TMDX;NAGE;KFS;ELF;PRE;NBIS,RGC;TMC;MVST;NVTS;LEU;PAYS;SMR;LASR;GNE;PARR;HTZ;TMDX;NAGE;KFS;ELF;NBIS;LMB;STRL;RZLV;RBLX,LCTX;MFI;PRE;TNGX,LMB;RBLX;RZLV;STRL,-0.054117921968125,-0.04280900277878234,-0.042909002778782346,0.0001
Arm_BandExp,3,2025-07-10,2025-07-09,2025-07-24,2025-07-23,SW2,1,10,20,5,0.25,112,RGC;MFI;TNGX;PAYS;PRME;TMC;LEU;IMRX;NVTS;VOR;LASR;SANA;VFF;HOOD;SLDP;LCTX;MGNI;PGY;PCT;PARR,RGC;TNGX;PAYS;PRME;TMC;LEU;NVTS;LASR;SANA;VFF;HOOD;MGNI;PGY;PCT;PARR;NAK;TPC;ENVX;SMR;FIVE,IMRX;LCTX;MFI;SLDP;VOR,ENVX;FIVE;NAK;SMR;TPC,0.07468003882214642,0.06236508454241171,0.06224008454241171,0.000125
Arm_BandExp,3,2025-07-24,2025-07-23,2025-08-07,2025-08-06,SW2,1,10,20,6,0.3,77,RGC;SBET;MFI;TNGX;PAYS;NVTS;SLDP;LEU;PGY;SMR;SANA;JOBY;TMC;LASR;ENVX;IMRX;PRCH;FLNC;PCT;MP,RGC;TNGX;PAYS;NVTS;LEU;PGY;SMR;SANA;TMC;LASR;PRCH;FLNC;PCT;MP;TPC;PARR;RKLB;HOOD;PRME;GOGO,ENVX;IMRX;JOBY;MFI;SBET;SLDP,GOGO;HOOD;PARR;PRME;RKLB;TPC,-0.12200141286118067,-0.11409851886910827,-0.11424851886910826,0.00015000000000000001
Arm_BandExp,3,2025-08-07,2025-08-06,2025-08-21,2025-08-20,SW2,1,10,20,3,0.15,91,TNGX;MFI;SBET;LEU;PHAT;VSAT;IMRX;JOBY;PGY;FIG;SLDP;MP;SMR;PRME;W;VFF;VOR;SLDB;NVTS;PHOE,TNGX;SBET;LEU;PHAT;VSAT;IMRX;PGY;FIG;MP;SMR;PRME;W;VFF;VOR;SLDB;NVTS;PHOE;LASR;SANA;HOOD,JOBY;MFI;SLDP,HOOD;LASR;SANA,-0.020227566915203977,-0.02762273068287411,-0.027697730682874108,7.500000000000001e-05
Arm_BandExp,3,2025-08-21,2025-08-20,2025-09-05,2025-09-04,SW2,1,10,20,3,0.15,72,VOR;MFI;URGN;SBET;TNGX;MP;SLDP;VFF;PRME;KOD;NVTS;VSAT;PHAT;RDDT;W;PGEN;LCTX;TLS;TLRY;PGY,VOR;MFI;URGN;SBET;TNGX;MP;VFF;PRME;KOD;NVTS;PHAT;RDDT;W;PGEN;LCTX;TLS;PGY;JOBY;SLDB;IMRX,SLDP;TLRY;VSAT,IMRX;JOBY;SLDB,0.006590868962331078,0.014021139896413551,0.01394613989641355,7.500000000000001e-05
Arm_BandExp,3,2025-09-05,2025-09-04,2025-09-19,2025-09-18,SW2,1,10,20,4,0.2,73,VOR;URGN;VSAT;PGEN;SATS;TLRY;SLDP;MP;PRME;IMRX;PHAT;TLS;PGY;METCB;RDDT;VFF;KOD;IDR;RZLV;ELVA,VOR;URGN;VSAT;PGEN;SATS;MP;PRME;IMRX;PHAT;PGY;METCB;RDDT;VFF;KOD;IDR;RZLV;UUUU;TNGX;RIGL;MLYS,ELVA;SLDP;TLRY;TLS,MLYS;RIGL;TNGX;UUUU,0.09479365274497079,0.10656458725704163,0.10646458725704162,0.0001
Arm_BandExp,3,2025-09-19,2025-09-18,2025-10-03,2025-10-02,SW2,1,10,20,4,0.2,106,VOR;RZLV;IMRX;TLRY;LDI;MLYS;SATS;KOD;UUUU;TLS;VFF;RUN;PGEN;RR;PGY;RHLD;PRME;FBYD;VSAT;WBTN,VOR;RZLV;IMRX;TLRY;SATS;KOD;UUUU;VFF;RUN;PGEN;RR;PGY;RHLD;PRME;VSAT;WBTN;HIVE;METCB;ENGN;HUT,FBYD;LDI;MLYS;TLS,ENGN;HIVE;HUT;METCB,0.006768073834427747,0.04424085082301317,0.04414085082301317,0.0001
Arm_BandExp,3,2025-10-03,2025-10-02,2025-10-17,2025-10-16,SW2,1,10,20,6,0.3,117,RLMD;ZURA;KOD;STTK;TLRY;SNDK;MLYS;NB;UUUU;IDR;LPTH;RR;NBIS;MNPR;RGTI;EOSE;SATS;KYTX;LAC;RZLV,RLMD;ZURA;KOD;TLRY;NB;UUUU;IDR;NBIS;MNPR;RGTI;EOSE;SATS;KYTX;RZLV;USAR;KTOS;MP;LDI;ENGN;STOK,LAC;LPTH;MLYS;RR;SNDK;STTK,ENGN;KTOS;LDI;MP;STOK;USAR,0.02624668667844727,0.05940680173070958,0.05925680173070958,0.00015000000000000001
