group,n,ret_medio_holding_log,ret_mediano_holding_log,ret_p10_holding_log
Flag_BandExp+R-037_severo,904,-0.03669173842489142,-0.045058900605602734,-0.34395069446513965
Flag_BandExp_so,1938,-0.008011081959904938,-0.007985808678557367,-0.2447839188822451
Nenhum_dos_dois,12613,0.002622600721414143,-0.0010908100345301468,-0.18295991584176127
R-037_severo_so_sem_Flag_BandExp,2045,-0.010341239107735078,-0.028082968742825364,-0.295379380261232
