split,arm,delta_cvar5,delta_sharpe_cost_adj,mean_veto_rate_arm,mean_veto_rate_baseline
TRAIN,Arm_R037_Severe,-0.0009218374586245359,0.07618250389265135,0.01053225806451613,0.0
HOLDOUT,Arm_R037_Severe,0.0208021678423381,0.3133941255261232,0.1135534221525601,0.0
SW1,Arm_R037_Severe,0.0031524033660094153,0.2700250749537099,0.07545874822190611,0.0
SW2,Arm_R037_Severe,0.02425603630978379,0.3563998261799871,0.1420313725490196,0.0
