date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt
2018-04-05,C1,ATRA,rebalance_sell,,,1.0,267,9729.7169625,2.4330375000000006,2018-04-06
2018-04-05,C1,GERN,rebalance_sell,,,1.0,2620,9534.4158,2.3842000000000003,2018-04-06
2018-04-06,C1,ASNS,rebalance_sell,,,1.0,396,8828.5923,2.2077000000000004,2018-04-09
2018-04-06,C1,CCXI,rebalance_sell,,,1.0,783,9651.976402499999,2.4135975,2018-04-09
2018-04-09,C1,ATRA,rebalance_sell,,,1.0,261,9393.651,2.3489999999999998,2018-04-10
2018-04-09,C1,CCXI,rebalance_sell,,,1.0,1,12.3469125,0.0030875,2018-04-10
2018-04-10,C1,ADMA,rebalance_sell,,,1.0,1570,8083.478625000001,2.0213750000000004,2018-04-11
2018-04-10,C1,TNDM,rebalance_sell,,,1.0,1733,12145.2929175,3.0370825000000004,2018-04-11
2018-04-10,C1,VCEL,rebalance_sell,,,1.0,918,11013.246,2.754,2018-04-11
2018-04-11,C1,ADMA,rebalance_sell,,,1.0,1,5.23869,0.0013100000000000002,2018-04-12
2018-04-11,C1,NKTR,rebalance_sell,,,1.0,87,8938.754752499999,2.2352475,2018-04-12
2018-04-11,C1,THC,rebalance_sell,,,1.0,2,45.928515,0.011485,2018-04-12
2018-04-11,C1,ULBI,rebalance_sell,,,1.0,1,10.297425,0.002575,2018-04-12
2018-04-12,C1,TNDM,defensive_sell,4.0,-0.21066363445279468,0.25,373,2576.7856425,0.6443575,2018-04-13
2018-04-12,C1,TNDM,rebalance_sell,,,1.0,1119,7730.3569275,1.9330725,2018-04-13
2018-04-13,C1,ATRA,rebalance_sell,,,1.0,253,10269.23205,2.56795,2018-04-16
2018-04-13,C1,TNDM,rebalance_sell,,,1.0,1,7.1082225,0.0017775000000000002,2018-04-16
2018-04-17,C1,CPST,defensive_sell,6.0,-2.920996825336746,1.0,7288,11293.5759,2.8241,2018-04-18
2018-04-17,C1,CPST,rebalance_sell,,,1.0,1,1.5496125,0.00038750000000000004,2018-04-18
2018-04-17,C1,RKDA,rebalance_sell,,,1.0,380,9999.0996,2.5004,2018-04-18
2018-04-18,C1,OMEX,defensive_sell,4.0,-1.7129195975746205,0.25,234,2367.48798,0.59202,2018-04-19
2018-04-18,C1,OMEX,rebalance_sell,,,1.0,704,7122.698879999999,1.7811199999999998,2018-04-19
2018-04-19,C1,OMEX,rebalance_sell,,,1.0,1,9.23769,0.00231,2018-04-20
2018-04-20,C1,RKDA,rebalance_sell,,,1.0,387,9409.48704,2.35296,2018-04-23
2018-04-20,C1,SMHI,rebalance_sell,,,1.0,506,11619.914295,2.905705,2018-04-23
2018-04-25,C1,EMMS,rebalance_sell,,,1.0,2261,10104.1433325,2.5266675000000003,2018-04-26
2018-04-25,C1,RFIL,rebalance_sell,,,1.0,1912,10417.7949,2.6051,2018-04-26
2018-04-25,C1,XENE,rebalance_sell,,,1.0,1114,5568.6075,1.3925,2018-04-26
2018-04-26,C1,EMMS,rebalance_sell,,,1.0,1,4.51887,0.00113,2018-04-27
2018-04-26,C1,RFIL,rebalance_sell,,,1.0,1,5.598599999999999,0.0014,2018-04-27
2018-04-26,C1,SSTI,rebalance_sell,,,1.0,342,9806.10786,2.4521400000000004,2018-04-27
2018-04-27,C1,VICR,defensive_sell,4.0,-0.42444796920459205,0.25,69,2479.9298625,0.6201375,2018-04-30
2018-04-27,C1,GERN,rebalance_sell,,,1.0,1463,5484.8784375,1.3715625,2018-04-30
2018-04-27,C1,VICR,rebalance_sell,,,1.0,207,7439.7895875,1.8604125000000002,2018-04-30
2018-04-30,C1,ACMR,rebalance_sell,,,1.0,912,9208.8972,2.3028,2018-05-01
2018-04-30,C1,CPST,rebalance_sell,,,1.0,6618,9262.8837,2.3162999999999996,2018-05-01
2018-04-30,C1,IFRX,rebalance_sell,,,1.0,259,10137.3150375,2.5349625000000002,2018-05-01
2018-04-30,C1,SSTI,rebalance_sell,,,1.0,347,9623.373555,2.4064449999999997,2018-05-01
2018-04-30,C1,VICR,rebalance_sell,,,1.0,1,35.8410375,0.0089625,2018-05-01
2018-05-01,C1,ACMR,rebalance_sell,,,1.0,2,20.234939999999998,0.005059999999999999,2018-05-02
2018-05-01,C1,CPST,rebalance_sell,,,1.0,2,2.6393400000000002,0.00066,2018-05-02
2018-05-01,C1,SSTI,rebalance_sell,,,1.0,1,27.6830775,0.006922500000000001,2018-05-02
2018-05-02,C1,CHCI,rebalance_sell,,,1.0,1488,3466.17324,0.86676,2018-05-03
2018-05-02,C1,OSG,rebalance_sell,,,1.0,2819,10399.5094725,2.6005275,2018-05-03
2018-05-03,C1,CHCI,rebalance_sell,,,1.0,1,2.339415,0.000585,2018-05-04
2018-05-04,C1,BXC,rebalance_sell,,,1.0,298,11374.79559,2.84441,2018-05-07
2018-05-04,C1,NTNX,rebalance_sell,,,1.0,63,3425.7133575000003,0.8566425000000001,2018-05-07
2018-05-04,C1,SMHI,rebalance_sell,,,1.0,432,10330.85664,2.5833600000000003,2018-05-07
2018-05-07,C1,SMHI,rebalance_sell,,,1.0,1,23.51412,0.00588,2018-05-08
2018-05-07,C1,VIRT,rebalance_sell,,,1.0,296,10105.872899999998,2.5271000000000003,2018-05-08
2018-05-07,C1,XENE,rebalance_sell,,,1.0,1665,9904.2733125,2.4766874999999997,2018-05-08
2018-05-08,C1,VIRT,rebalance_sell,,,1.0,2,66.683325,0.016675000000000002,2018-05-09
2018-05-08,C1,XENE,rebalance_sell,,,1.0,2,12.096975,0.003025,2018-05-09
2018-05-09,C1,BXC,rebalance_sell,,,1.0,272,10512.891119999998,2.62888,2018-05-10
2018-05-09,C1,CDNA,rebalance_sell,,,1.0,406,4546.0632,1.1368,2018-05-10
2018-05-10,C1,EGAN,defensive_sell,4.0,-1.6605626579771404,0.25,2,21.094725,0.005275,2018-05-11
2018-05-10,C1,BXC,rebalance_sell,,,1.0,1,40.009995,0.010005000000000002,2018-05-11
2018-05-10,C1,EGAN,rebalance_sell,,,1.0,6,63.284175000000005,0.015825000000000002,2018-05-11
2018-05-11,C1,CDNA,rebalance_sell,,,1.0,1012,11098.864590000001,2.7754100000000004,2018-05-14
2018-05-11,C1,OSG,rebalance_sell,,,1.0,3447,11303.333459999998,2.8265399999999996,2018-05-14
2018-05-14,C1,OSG,rebalance_sell,,,1.0,2,6.738315,0.001685,2018-05-15
2018-05-14,C1,RUN,rebalance_sell,,,1.0,11,119.7600525,0.029947500000000002,2018-05-15
2018-05-15,C1,NTNX,rebalance_sell,,,1.0,190,10863.383475,2.716525,2018-05-16
2018-05-16,C1,NTNX,rebalance_sell,,,1.0,1,57.3356625,0.014337500000000001,2018-05-17
2018-05-16,C1,TWLO,rebalance_sell,,,1.0,239,12835.87023,3.20977,2018-05-17
2018-05-17,C1,AMTX,rebalance_sell,,,1.0,2,3.419145,0.000855,2018-05-18
2018-05-17,C1,PRPH,rebalance_sell,,,1.0,5,24.59385,0.00615,2018-05-18
2018-05-17,C1,TWLO,rebalance_sell,,,1.0,1,53.7165675,0.0134325,2018-05-18
2018-05-18,C1,LGCY,defensive_sell,6.0,-4.58393509404952,1.0,2220,17777.75445,4.44555,2018-05-21
