variant,split,equity_final,cagr,mdd,avg_tickers,max_concentration_pct,cost_total,days,defensive_days_pct,n_defensive_sells_25,n_defensive_sells_50,n_defensive_sells_100,quarantine_entries,top_n,rebalance_cadence,buffer_k
C3,TRAIN,73739.99,-5.9162,-37.1127,1.2836,32.0601,42.72,1259,80.5401,4,4,8,15,5,1,
C3,HOLDOUT,264628.93,4.8304,0.0,0.0,0.0,79.36,802,100.0,5,2,7,13,5,2,
C3,TRAIN,227698.74,17.9028,-17.9215,1.0318,71.064,79.36,1259,84.3527,5,2,7,13,5,2,
C3,HOLDOUT,227192.4,4.8304,0.0,0.0,0.0,71.63,802,100.0,6,2,7,14,5,5,
C3,TRAIN,195486.65,14.3575,-16.6425,1.0763,60.4044,71.63,1259,83.7172,6,2,7,14,5,5,
C3,HOLDOUT,175822.12,4.8304,0.0,0.0,0.0,61.0,802,0.0,9,5,15,24,10,1,
C3,TRAIN,151285.33,8.6383,-17.2394,2.0056,40.9931,61.0,1259,26.2113,9,5,15,24,10,1,
C3,HOLDOUT,186961.39,4.8304,0.0,0.0,0.0,63.3,802,0.0,8,3,13,21,10,2,
C3,TRAIN,160870.06,9.9823,-18.2185,1.6608,49.8169,63.3,1259,25.2581,8,3,13,21,10,2,
C3,HOLDOUT,173651.28,4.8304,0.0,0.0,0.0,60.6,802,0.0,11,7,16,28,10,5,
C3,TRAIN,149417.44,8.3685,-16.1776,2.0572,39.5637,60.6,1259,26.529,11,7,16,28,10,5,
