date,equity,top1_ticker,top1_weight_pct,n_tickers,n_positions_gt_10pct,max_concentration_pct,trim_events_today,regime_defensive_used
2018-01-02,100005.63492063493,,0.0,0,0,0.0,0,0
2018-01-03,100011.27015879315,,0.0,0,0,0.0,0,0
2018-01-04,100016.90571449258,,0.0,0,0,0.0,0,0
2018-01-05,100022.5415877511,,0.0,0,0,0.0,0,0
2018-01-08,100028.1777785866,,0.0,0,0,0.0,0,0
2018-01-09,100033.81428701698,,0.0,0,0,0.0,0,0
2018-01-10,100039.45111306015,,0.0,0,0,0.0,0,0
2018-01-11,100045.08825673397,,0.0,0,0,0.0,0,0
2018-01-12,100050.72571805638,,0.0,0,0,0.0,0,0
2018-01-16,100056.36349704525,,0.0,0,0,0.0,0,0
2018-01-17,100062.00159371851,,0.0,0,0,0.0,0,0
2018-01-18,100067.64000809404,,0.0,0,0,0.0,0,0
2018-01-19,100073.27874018974,,0.0,0,0,0.0,0,0
2018-01-22,100078.91779002351,,0.0,0,0,0.0,0,0
2018-01-23,100084.55715761326,,0.0,0,0,0.0,0,0
2018-01-24,100090.1968429769,,0.0,0,0,0.0,0,0
2018-01-25,100095.83684613234,,0.0,0,0,0.0,0,0
2018-01-26,100101.47716709749,,0.0,0,0,0.0,0,0
2018-01-29,100107.11780589024,,0.0,0,0,0.0,0,0
2018-01-30,100112.75876252851,,0.0,0,0,0.0,0,0
2018-01-31,100118.08221874843,,0.0,0,0,0.0,0,0
2018-02-01,100123.72379322266,,0.0,0,0,0.0,0,0
2018-02-02,100129.36568559513,,0.0,0,0,0.0,0,0
2018-02-05,100135.00789588375,,0.0,0,0,0.0,0,0
2018-02-06,100140.65042410647,,0.0,0,0,0.0,0,0
2018-02-07,100146.29327028117,,0.0,0,0,0.0,0,0
2018-02-08,100151.93643442576,,0.0,0,0,0.0,0,0
2018-02-09,100157.57991655818,,0.0,0,0,0.0,0,0
2018-02-12,100163.22371669635,,0.0,0,0,0.0,0,0
2018-02-13,100168.86783485816,,0.0,0,0,0.0,0,0
2018-02-14,100174.51227106155,,0.0,0,0,0.0,0,0
2018-02-15,100180.15702532444,,0.0,0,0,0.0,0,0
2018-02-16,100185.80209766477,,0.0,0,0,0.0,0,0
2018-02-20,100191.44748810043,,0.0,0,0,0.0,0,0
2018-02-21,100197.09319664937,,0.0,0,0,0.0,0,0
2018-02-22,100202.7392233295,,0.0,0,0,0.0,0,0
2018-02-23,100208.38556815874,,0.0,0,0,0.0,0,0
2018-02-26,100214.03223115504,,0.0,0,0,0.0,0,0
2018-02-27,100219.67921233633,,0.0,0,0,0.0,0,0
2018-02-28,100225.0481237227,,0.0,0,0,0.0,0,0
2018-03-01,100230.69572564079,,0.0,0,0,0.0,0,0
2018-03-02,100236.34364579676,,0.0,0,0,0.0,0,0
2018-03-05,100241.99188420855,,0.0,0,0,0.0,0,0
2018-03-06,100247.64044089409,,0.0,0,0,0.0,0,0
2018-03-07,100253.28931587131,,0.0,0,0,0.0,0,0
2018-03-08,100258.93850915816,,0.0,0,0,0.0,0,0
2018-03-09,100264.58802077257,,0.0,0,0,0.0,0,0
2018-03-12,100270.23785073248,,0.0,0,0,0.0,0,0
2018-03-13,100275.88799905582,,0.0,0,0,0.0,0,0
2018-03-14,100281.53846576053,,0.0,0,0,0.0,0,0
2018-03-15,100287.22904512585,,0.0,0,0,0.0,0,0
2018-03-16,100292.91994740895,,0.0,0,0,0.0,0,0
2018-03-19,100298.61117262818,,0.0,0,0,0.0,0,0
2018-03-20,100304.34252183803,,0.0,0,0,0.0,0,0
2018-03-21,100310.07419855356,,0.0,0,0,0.0,0,0
2018-03-22,100316.76153683347,,0.0,0,0,0.0,0,0
2018-03-23,100323.44932093592,,0.0,0,0,0.0,0,0
2018-03-26,100330.13755089065,,0.0,0,0,0.0,0,0
2018-03-27,100336.82622672737,,0.0,0,0,0.0,0,0
2018-03-28,100343.51534847582,,0.0,0,0,0.0,0,0
2018-03-29,100350.20491616572,,0.0,0,0,0.0,0,0
2018-04-02,100356.8949298268,,0.0,0,0,0.0,0,0
2018-04-03,100363.62521365343,,0.0,0,0,0.0,0,0
2018-04-04,100370.3559488364,,0.0,0,0,0.0,0,0
2018-04-05,100377.08713540598,,0.0,0,0,0.0,0,0
2018-04-06,100383.81877339243,,0.0,0,0,0.0,0,0
2018-04-09,100390.55086282603,,0.0,0,0,0.0,0,0
2018-04-10,100397.28340373706,,0.0,0,0,0.0,0,0
2018-04-11,100404.0163961558,,0.0,0,0,0.0,0,0
2018-04-12,100410.74984011252,,0.0,0,0,0.0,0,0
2018-04-13,100385.75318129154,GERN,5.0011080665335195,20,0,5.0011080665335195,0,0
2018-04-16,101493.50428638583,BXC,5.294131912953127,20,0,5.294131912953127,0,0
2018-04-17,102771.24539289551,BXC,5.389056032965876,20,0,5.389056032965876,0,0
2018-04-18,102783.69650082066,BXC,5.415644882897898,20,0,5.415644882897898,0,0
2018-04-19,102313.09761016139,BXC,5.472026681600505,20,0,5.472026681600505,0,0
2018-04-20,101479.58884583351,BXC,5.677003686674408,20,0,5.677003686674408,0,1
2018-04-23,100869.27008293818,BXC,5.604481915405699,20,0,5.604481915405699,0,1
2018-04-24,99319.00132147555,BXC,5.7074677801600995,20,0,5.7074677801600995,0,1
2018-04-25,99937.15256144563,BXC,5.735204429079532,20,0,5.735204429079532,0,1
2018-04-26,101362.80380284859,BXC,5.675257376649575,20,0,5.675257376649575,0,1
2018-04-27,101145.4784420178,BXC,5.676378310169632,15,0,5.676378310169632,0,0
2018-04-30,101368.85763425857,XENE,5.752851650987881,15,0,5.752851650987881,0,0
2018-05-01,101836.83046659897,XENE,5.82029111947277,15,0,5.82029111947277,0,1
2018-05-02,101665.8434536146,XENE,5.68902967164078,15,0,5.68902967164078,0,1
2018-05-03,101475.30659531584,XENE,5.7468168322530495,15,0,5.7468168322530495,0,1
2018-05-04,101717.31989171312,XENE,5.686150604594532,15,0,5.686150604594532,0,1
2018-05-07,102746.88334281695,TNDM,5.861180216928703,15,0,5.861180216928703,0,1
2018-05-08,102862.90694863768,TNDM,6.039883748475264,15,0,6.039883748475264,0,0
2018-05-09,103551.84070918584,TWLO,6.478378321482513,15,0,6.478378321482513,0,0
2018-05-10,103457.70462447175,TWLO,6.7935781346704,15,0,6.7935781346704,0,1
2018-05-11,103264.50754474485,TWLO,6.018795952042765,16,0,6.018795952042765,2,1
2018-05-14,105284.98013176175,TNDM,7.378132180182248,16,0,7.378132180182248,0,1
2018-05-15,107063.97297373493,TNDM,7.74054032352513,16,0,7.74054032352513,0,1
2018-05-16,107025.91103278476,TNDM,7.6130442818693504,16,0,7.6130442818693504,0,1
2018-05-17,107349.64930892584,TNDM,7.590085344901561,16,0,7.590085344901561,0,1
2018-05-18,107984.00780217288,TNDM,8.281328117014061,16,0,8.281328117014061,0,1
2018-05-21,107332.41651254051,TNDM,7.980934631243628,16,0,7.980934631243628,0,1
