date,variant,ticker,event,weight_before,weight_cap,value_sold_gross,proceeds_net,trade_cost,sold_shares,settle_dt
2018-05-11,C4,TNDM,concentration_trim,0.06084251043100158,0.06,87.0087378816952,80.079975,0.020025,9,2018-05-14
2018-05-11,C4,TWLO,concentration_trim,0.06640871800908937,0.06,661.8487378816944,642.79926,0.16074000000000002,12,2018-05-14
2018-05-25,C4,TNDM,concentration_trim,0.09284937579553017,0.06,3501.6219464378128,3492.3266999999996,0.8733,246,2018-05-29
2018-06-11,C4,CDNA,concentration_trim,0.06234933183380882,0.06,262.46895943809795,256.8057825,0.0642175,17,2018-06-12
2018-06-11,C4,TNDM,concentration_trim,0.06592181264646248,0.06,661.5889594380969,653.0366999999999,0.16329999999999997,40,2018-06-12
2018-06-25,C4,CLNE,concentration_trim,0.06274555977203389,0.06,316.4867713749054,314.08146,0.07854,88,2018-06-26
2018-06-25,C4,TNDM,concentration_trim,0.08393123651091021,0.06,2758.606771374906,2753.491455,0.688545,117,2018-06-26
2018-07-10,C4,EGY,concentration_trim,0.061992431208066266,0.06,234.18745989890886,233.9415,0.0585,72,2018-07-11
2018-07-24,C4,TNDM,concentration_trim,0.06823128257917016,0.06,940.2450037584758,927.6180375,0.23196250000000002,35,2018-07-25
2018-08-07,C4,STAA,concentration_trim,0.06715544595085218,0.06,803.5079314261739,797.8005,0.1995,20,2018-08-08
2018-08-07,C4,TNDM,concentration_trim,0.07092370614553242,0.06,1226.6579314261744,1198.9501875,0.2998125,39,2018-08-08
2018-08-21,C4,BLFS,concentration_trim,0.07208630455777762,0.06,1376.1220511575348,1375.636005,0.34399500000000005,57,2018-08-22
2018-08-21,C4,CVNA,concentration_trim,0.06101654768140308,0.06,115.74205115753466,58.365405,0.014595,1,2018-08-22
2018-08-21,C4,TNDM,concentration_trim,0.06942509418190568,0.06,1073.1220511575348,1041.7095075,0.2604925,29,2018-08-22
2018-09-05,C4,CVNA,concentration_trim,0.06239623776881409,0.06,281.6402006522112,248.53785,0.06215,4,2018-09-06
2018-09-05,C4,TNDM,concentration_trim,0.07254254991531879,0.06,1474.1802006522112,1472.7517200000002,0.36828000000000005,33,2018-09-06
2018-10-03,C4,CRMD,concentration_trim,0.08951339607765134,0.06,3598.6612352356333,3597.4504125,0.8995875,3129,2018-10-04
2018-10-03,C4,KALV,concentration_trim,0.06557240797176798,0.06,679.4612352356335,656.6857875,0.16421249999999998,29,2018-10-04
2018-10-17,C4,CRMD,concentration_trim,0.10376622020039493,0.06,5098.357784610915,5096.425575,1.274425,2683,2018-10-18
2018-11-29,C4,CRMD,concentration_trim,0.06276123203728677,0.06,296.95420491105597,295.9359975,0.0740025,207,2018-11-30
2019-01-30,C4,APPS,concentration_trim,0.06097534417874905,0.06,100.2889691502769,99.85503,0.02497,44,2019-01-31
2019-01-30,C4,LRN,concentration_trim,0.0652017818098471,0.06,534.8689691502768,508.6827975,0.1272025,17,2019-01-31
2019-02-13,C4,AMSC,concentration_trim,0.06371514854873704,0.06,389.31913844862447,385.403625,0.096375,25,2019-02-14
2019-02-13,C4,APPS,concentration_trim,0.07495795421100646,0.06,1567.4791384486252,1565.988405,0.391595,542,2019-02-14
2019-02-13,C4,LRN,concentration_trim,0.06352677601548756,0.06,369.5791384486238,353.67156,0.08843999999999999,11,2019-02-14
2019-02-28,C4,APPS,concentration_trim,0.06603084323569292,0.06,632.0001877335044,629.48259,0.15741,198,2019-03-01
2019-03-28,C4,VCYT,concentration_trim,0.06113763324766801,0.06,120.58151137465666,100.05498,0.02502,4,2019-03-29
2019-04-11,C4,DBD,concentration_trim,0.06663978309691909,0.06,711.6168848799607,701.5045799999999,0.17542,56,2019-04-12
2019-04-26,C4,YETI,concentration_trim,0.060910133554583364,0.06,100.18230923650117,69.82254,0.01746,2,2019-04-29
2019-05-10,C4,AXSM,concentration_trim,0.07455689858046718,0.06,1532.9992920235145,1515.2211000000002,0.3789,72,2019-05-13
2019-05-24,C4,AXSM,concentration_trim,0.07212396591732374,0.06,1251.2835043099503,1236.190875,0.309125,50,2019-05-28
2019-06-10,C4,EVER,concentration_trim,0.06028267241205009,0.06,28.95341240869766,25.093725000000003,0.006275,2,2019-06-11
2019-07-09,C4,EVER,concentration_trim,0.06282707840231938,0.06,301.1880714380941,300.44487,0.07513,22,2019-07-10
2019-07-23,C4,EVER,concentration_trim,0.0632580566218913,0.06,354.08736573834994,352.47186,0.08814,24,2019-07-24
2019-07-23,C4,IOVA,concentration_trim,0.06124371263597372,0.06,135.16736573834987,129.9675,0.0325,5,2019-07-24
2019-09-04,C4,EGO,concentration_trim,0.0642624459698297,0.06,480.4023575834317,479.40011999999996,0.11988,48,2019-09-05
2019-09-04,C4,SVM,concentration_trim,0.06010179030884012,0.06,11.472357583431403,9.15771,0.00229,2,2019-09-05
2019-09-18,C4,SVM,concentration_trim,0.061119436820946615,0.06,115.78292271498867,115.53111,0.028890000000000002,27,2019-09-19
2019-10-16,C4,HOV,concentration_trim,0.07207348969943037,0.06,1236.3613034119262,1211.0071725000003,0.3028275,43,2019-10-17
2019-11-27,C4,TNK,concentration_trim,0.06621575616108359,0.06,580.2651655335176,565.358625,0.141375,29,2019-11-29
2019-12-12,C4,LXRX,concentration_trim,0.0640182374801257,0.06,418.152994858041,415.63606500000003,0.103935,82,2019-12-13
2019-12-27,C4,NAT,concentration_trim,0.06266478798898469,0.06,276.50187166135765,274.671315,0.06868500000000001,57,2019-12-30
2019-12-27,C4,TNK,concentration_trim,0.06400536484309634,0.06,415.6018716613571,414.97623,0.10377,18,2019-12-30
2020-01-13,C4,FCEL,concentration_trim,0.06055156440371783,0.06,57.215471916357274,55.33616249999999,0.013837499999999999,27,2020-01-14
2020-01-13,C4,FULC,concentration_trim,0.06271442325069264,0.06,281.57547191635786,276.310905,0.069095,13,2020-01-14
2020-01-28,C4,CCXI,concentration_trim,0.06245558045242019,0.06,252.51569920629208,246.958245,0.061755000000000004,6,2020-01-29
2020-01-28,C4,SGRY,concentration_trim,0.06839120030203502,0.06,862.8956992062922,856.5858000000001,0.21420000000000003,48,2020-01-29
2020-02-11,C4,CCXI,concentration_trim,0.06916090132396008,0.06,974.3596287647661,931.52706,0.23294,19,2020-02-12
2020-02-26,C4,FCEL,concentration_trim,0.06712728366736227,0.06,738.4230499410905,737.195655,0.184345,322,2020-02-27
2020-02-26,C4,KNSA,concentration_trim,0.06017714424421319,0.06,18.35304994108992,18.2254425,0.0045575,1,2020-02-27
2020-04-08,C4,NVAX,concentration_trim,0.0812598498905118,0.06,1914.771420404244,1906.503255,0.47674500000000003,111,2020-04-09
2020-04-23,C4,NVAX,concentration_trim,0.06649079082087321,0.06,626.6872347031667,611.24715,0.15284999999999999,30,2020-04-24
2020-04-23,C4,SMMT,concentration_trim,0.06793066336007564,0.06,765.7072347031672,764.748765,0.19123500000000002,209,2020-04-24
2020-04-23,C4,TDOC,concentration_trim,0.06222005968280151,0.06,214.34723470316658,187.6830675,0.046932499999999995,1,2020-04-24
2020-04-23,C4,ZM,concentration_trim,0.06655003460539513,0.06,632.407234703167,507.14318249999997,0.1268175,3,2020-04-24
2020-05-07,C4,LPTH,concentration_trim,0.0658362305646978,0.06,565.1353072154552,563.01921,0.14079000000000003,228,2020-05-08
2020-05-21,C4,NVAX,concentration_trim,0.13099142966005708,0.06,7733.667418597821,7708.852304999999,1.927695,154,2020-05-22
2020-05-21,C4,QDEL,concentration_trim,0.06303215855022253,0.06,330.3174185978196,180.654825,0.045175,1,2020-05-22
2020-06-05,C4,FVRR,concentration_trim,0.06119504255417578,0.06,129.75776504680925,127.74805500000001,0.031945,2,2020-06-08
2020-06-05,C4,ZM,concentration_trim,0.06691837822198027,0.06,751.1977650468089,622.6442999999999,0.1557,3,2020-06-08
2020-06-19,C4,FSLY,concentration_trim,0.06400732416014975,0.06,478.4948830943422,445.7185425,0.1114575,7,2020-06-22
2020-06-19,C4,NVAX,concentration_trim,0.07103759425307875,0.06,1317.944883094343,1294.67625,0.32375,20,2020-06-22
2020-07-06,C4,FSLY,concentration_trim,0.07616964498065708,0.06,2023.8813381916916,1940.0248725000001,0.48512750000000004,23,2020-07-07
2020-07-06,C4,FVRR,concentration_trim,0.06384907521671998,0.06,481.7713381916901,469.98247499999997,0.11752499999999999,6,2020-07-07
2020-07-06,C4,NVAX,concentration_trim,0.07044945748826933,0.06,1307.9113381916904,1270.72224,0.31776,16,2020-07-07
2020-07-06,C4,THM,concentration_trim,0.0612648163144088,0.06,158.31133819169008,156.60084,0.03916000000000001,88,2020-07-07
2020-07-20,C4,ALT,concentration_trim,0.13954320549274926,0.06,11944.203326621831,11937.354915,2.985085,359,2020-07-21
2020-07-20,C4,KOPN,concentration_trim,0.06347411773601333,0.06,521.6733266218307,521.50959,0.13041,276,2020-07-21
2020-07-20,C4,NVAX,concentration_trim,0.06627972612408807,0.06,942.9633266218316,829.1726549999998,0.20734499999999997,6,2020-07-21
2020-08-03,C4,CWH,concentration_trim,0.061478494635108016,0.06,227.30607954954212,200.1999375,0.0500625,5,2020-08-04
2020-08-03,C4,FSLY,concentration_trim,0.06536553714488823,0.06,824.9060795495425,781.424595,0.195405,7,2020-08-04
2020-08-03,C4,KOPN,concentration_trim,0.06635407918075904,0.06,976.8860795495439,975.59604,0.24396,456,2020-08-04
2020-08-03,C4,NVAX,concentration_trim,0.06691371963849245,0.06,1062.926079549543,934.9861950000001,0.233805,6,2020-08-04
2020-08-17,C4,CELH,concentration_trim,0.07953323376899692,0.06,3020.373850930231,3016.1757675000003,0.7542325000000001,131,2020-08-18
2020-08-17,C4,CLSK,concentration_trim,0.06430941538547712,0.06,666.3538509302307,655.2361500000001,0.16385000000000002,58,2020-08-18
2020-08-17,C4,REZI,concentration_trim,0.06158014552616707,0.06,244.33385093023026,234.201435,0.058565,17,2020-08-18
2020-08-31,C4,EXPI,concentration_trim,0.06826887422589532,0.06,1239.1282533924077,1200.6597599999998,0.30023999999999995,27,2020-09-01
2020-08-31,C4,RUN,concentration_trim,0.06076129332940326,0.06,114.08325339240764,113.0817225,0.0282775,2,2020-09-01
2020-09-15,C4,RUN,concentration_trim,0.06540734225139609,0.06,801.9651672874807,792.9317175,0.1982825,13,2020-09-16
2020-09-29,C4,APPS,concentration_trim,0.06672452877148063,0.06,1028.5925959785054,1023.6740175000001,0.2559825,31,2020-09-30
2020-09-29,C4,CLSK,concentration_trim,0.06975333429343324,0.06,1491.8825959785045,1479.35007,0.36993000000000004,114,2020-09-30
2020-09-29,C4,NFE,concentration_trim,0.06682187366176938,0.06,1043.4825959785048,1039.1801400000002,0.25986,24,2020-09-30
2020-09-29,C4,RUN,concentration_trim,0.06948686164547022,0.06,1451.1225959785043,1382.8542,0.3458,19,2020-09-30
2020-10-13,C4,APPS,concentration_trim,0.0675765720775429,0.06,1241.4570631020797,1234.4213175,0.3086825,31,2020-10-14
2020-10-13,C4,BXC,concentration_trim,0.06159206320137334,0.06,260.86706310207956,246.08846250000002,0.0615375,9,2020-10-14
