arm,split,n_days,n_cycles,equity_final,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,avg_tickers,cash_idle_days_pct,turnover_mean_pct,defensive_sells_total,defensive_sells_per_cycle
Zero-A,SW2,511,8,100912.47665929023,-0.035243069998026136,0.020626087715060967,0.0,2.696673189823875,87.866927592955,1.090972550485952,0,0.0
Zero-B,SW2,511,8,103002.18858659406,-0.03191480760791904,0.07243299629480783,0.003718199608610568,2.7338551859099804,87.866927592955,1.975015732394134,38,4.75
A1,SW2,511,8,102824.15737606876,-0.03190721190109781,0.06828714864302282,0.004011741682974559,2.710371819960861,87.866927592955,1.970046244106826,41,5.125
A2,SW2,511,8,96036.31788438199,-0.030422885364364376,0.10691765581025459,0.004011741682974559,20.36399217221135,89.04109589041096,2.0032648094101786,41,5.125
