date,arm,split,is_holdout,cycle_id,equity,cash_free,cash_pending,holdings_value,n_tickers,log_ret_equity,turnover_gross_pct,defensive_sells_today,defensive_sell_rate,trigger_spc_today,trigger_medio_grave_today,cash_idle_gt5,trade_cost_today,gross_sells_today,gross_buys_today,is_rebalance_day
2021-01-04,A1,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2021-01-05,A1,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2021-01-06,A1,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2021-01-07,A1,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2021-01-08,A1,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2021-01-11,A1,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2021-01-12,A1,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2021-01-13,A1,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2021-01-14,A1,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2021-01-15,A1,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2021-01-19,A1,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2021-01-20,A1,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2021-01-21,A1,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
