arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,is_holdout,holding_days,top_n,n_veto,veto_rate,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_R001_Downside,3,2025-06-25,2025-06-24,2025-07-10,2025-07-09,SW2,1,10,20,1,0.05,RGC;TMC;MVST;NVTS;LEU;PAYS;SMR;LCTX;LASR;GNE;PARR;HTZ;TMDX;NAGE;KFS;ELF;PRE;NBIS;LMB;STRL,TMC;MVST;NVTS;LEU;PAYS;SMR;LCTX;LASR;GNE;PARR;HTZ;TMDX;NAGE;KFS;ELF;PRE;NBIS;LMB;STRL;RZLV,RGC,RZLV,-0.03869868226214369,-0.030364706609136614,-0.030389706609136615,2.5e-05
Arm_R001_Downside,3,2025-07-10,2025-07-09,2025-07-24,2025-07-23,SW2,1,10,20,0,0.0,RGC;TNGX;PAYS;PRME;TMC;LEU;NVTS;LASR;SANA;VFF;HOOD;MGNI;PGY;PCT;PARR;NAK;TPC;ENVX;SMR;FIVE,RGC;TNGX;PAYS;PRME;TMC;LEU;NVTS;LASR;SANA;VFF;HOOD;MGNI;PGY;PCT;PARR;NAK;TPC;ENVX;SMR;FIVE,,,0.06236508454241171,0.06236508454241171,0.06236508454241171,0.0
Arm_R001_Downside,3,2025-07-24,2025-07-23,2025-08-07,2025-08-06,SW2,1,10,20,0,0.0,RGC;TNGX;PAYS;NVTS;LEU;PGY;SMR;SANA;TMC;LASR;ENVX;PRCH;FLNC;PCT;MP;TPC;PARR;RKLB;HOOD;PRME,RGC;TNGX;PAYS;NVTS;LEU;PGY;SMR;SANA;TMC;LASR;ENVX;PRCH;FLNC;PCT;MP;TPC;PARR;RKLB;HOOD;PRME,,,-0.12321920857372004,-0.12321920857372004,-0.12321920857372004,0.0
Arm_R001_Downside,3,2025-08-07,2025-08-06,2025-08-21,2025-08-20,SW2,1,10,20,0,0.0,TNGX;SBET;LEU;PHAT;VSAT;IMRX;PGY;FIG;MP;SMR;PRME;W;VFF;VOR;SLDB;NVTS;PHOE;LASR;SANA;HOOD,TNGX;SBET;LEU;PHAT;VSAT;IMRX;PGY;FIG;MP;SMR;PRME;W;VFF;VOR;SLDB;NVTS;PHOE;LASR;SANA;HOOD,,,-0.02762273068287411,-0.02762273068287411,-0.02762273068287411,0.0
Arm_R001_Downside,3,2025-08-21,2025-08-20,2025-09-05,2025-09-04,SW2,1,10,20,0,0.0,VOR;MFI;URGN;SBET;TNGX;MP;VFF;PRME;KOD;NVTS;VSAT;PHAT;RDDT;W;PGEN;LCTX;TLS;TLRY;PGY;JOBY,VOR;MFI;URGN;SBET;TNGX;MP;VFF;PRME;KOD;NVTS;VSAT;PHAT;RDDT;W;PGEN;LCTX;TLS;TLRY;PGY;JOBY,,,0.003121811681663117,0.003121811681663117,0.003121811681663117,0.0
Arm_R001_Downside,3,2025-09-05,2025-09-04,2025-09-19,2025-09-18,SW2,1,10,20,0,0.0,VOR;URGN;VSAT;PGEN;SATS;MP;PRME;IMRX;PHAT;TLS;PGY;METCB;RDDT;VFF;KOD;IDR;RZLV;ELVA;UUUU;TNGX,VOR;URGN;VSAT;PGEN;SATS;MP;PRME;IMRX;PHAT;TLS;PGY;METCB;RDDT;VFF;KOD;IDR;RZLV;ELVA;UUUU;TNGX,,,0.10894723728377338,0.10894723728377338,0.10894723728377338,0.0
Arm_R001_Downside,3,2025-09-19,2025-09-18,2025-10-03,2025-10-02,SW2,1,10,20,0,0.0,VOR;RZLV;IMRX;TLRY;SATS;KOD;UUUU;TLS;VFF;RUN;PGEN;RR;PGY;RHLD;PRME;FBYD;VSAT;WBTN;HIVE;METCB,VOR;RZLV;IMRX;TLRY;SATS;KOD;UUUU;TLS;VFF;RUN;PGEN;RR;PGY;RHLD;PRME;FBYD;VSAT;WBTN;HIVE;METCB,,,0.025860854653974797,0.025860854653974797,0.025860854653974797,0.0
Arm_R001_Downside,3,2025-10-03,2025-10-02,2025-10-17,2025-10-16,SW2,1,10,20,0,0.0,RLMD;ZURA;KOD;TLRY;NB;UUUU;IDR;NBIS;MNPR;RGTI;EOSE;SATS;KYTX;LAC;RZLV;USAR;KTOS;MP;LDI;ENGN,RLMD;ZURA;KOD;TLRY;NB;UUUU;IDR;NBIS;MNPR;RGTI;EOSE;SATS;KYTX;LAC;RZLV;USAR;KTOS;MP;LDI;ENGN,,,0.04714290207428844,0.04714290207428844,0.04714290207428844,0.0
Arm_R001_Downside,3,2025-10-17,2025-10-16,2025-10-31,2025-10-30,SW2,1,10,20,5,0.25,RLMD;MLYS;RGTI;TMQ;STOK;KOD;HL;EOSE;HIVE;RR;NB;PRAX;VSAT;NAK;SATS;HYMC;UUUU;ENGN;VFF;HUT,RLMD;MLYS;TMQ;STOK;KOD;HL;RR;PRAX;VSAT;SATS;HYMC;UUUU;ENGN;VFF;HUT;NBIS;FDMT;TLS;TOYO;LPTH,EOSE;HIVE;NAK;NB;RGTI,FDMT;LPTH;NBIS;TLS;TOYO,-0.04437870187249663,-0.020018755126424915,-0.020143755126424915,0.000125
Arm_R001_Downside,3,2025-10-31,2025-10-30,2025-11-14,2025-11-13,SW2,1,10,20,0,0.0,RLMD;PRAX;MLYS;LUMN;SATS;KOD;RGTI;GLUE;TLS;NAK;HIVE;STOK;ZURA;RR;STTK;LPTH;NB;RCUS;EOSE;HUT,RLMD;PRAX;MLYS;LUMN;SATS;KOD;RGTI;GLUE;TLS;NAK;HIVE;STOK;ZURA;RR;STTK;LPTH;NB;RCUS;EOSE;HUT,,,-0.11914880096783634,-0.11914880096783634,-0.11914880096783634,0.0
Arm_R001_Downside,3,2025-11-14,2025-11-13,2025-12-01,2025-11-28,SW2,1,10,20,0,0.0,RLMD;SNDK;GLUE;IVVD;MLYS;NAUT;MNPR;SATS;HYMC;EOSE;ZURA;ENGN;PALI;PHOE;ZBIO;RCUS;HL;SPHR;LITE;RLAY,RLMD;SNDK;GLUE;IVVD;MLYS;NAUT;MNPR;SATS;HYMC;EOSE;ZURA;ENGN;PALI;PHOE;ZBIO;RCUS;HL;SPHR;LITE;RLAY,,,0.09390882031522814,0.09390882031522814,0.09390882031522814,0.0
Arm_R001_Downside,3,2025-12-01,2025-11-28,2025-12-15,2025-12-12,SW2,1,10,20,0,0.0,PRAX;GLUE;RLMD;FLNC;FBYD;MNPR;RCUS;KOD;LITE;RHLD;IVVD;RLAY;NAK;ZBIO;HYMC;RVMD;KYTX;TMQ;IMNM;STTK,PRAX;GLUE;RLMD;FLNC;FBYD;MNPR;RCUS;KOD;LITE;RHLD;IVVD;RLAY;NAK;ZBIO;HYMC;RVMD;KYTX;TMQ;IMNM;STTK,,,0.026043877199560195,0.026043877199560195,0.026043877199560195,0.0
Arm_R001_Downside,3,2025-12-15,2025-12-12,2025-12-30,2025-12-29,SW2,1,10,20,0,0.0,IMMX;PACS;FLNC;RHLD;GLUE;NUVB;NAK;RLMD;KOD;NAUT;TRDA;HYMC;ZBIO;SRZN;KYTX;IMNM;VSCO;SNDK;JBIO;VERA,IMMX;PACS;FLNC;RHLD;GLUE;NUVB;NAK;RLMD;KOD;NAUT;TRDA;HYMC;ZBIO;SRZN;KYTX;IMNM;VSCO;SNDK;JBIO;VERA,,,0.04539110120923661,0.04539110120923661,0.04539110120923661,0.0
Arm_R001_Downside,3,2025-12-30,2025-12-29,2026-01-14,2026-01-13,SW2,1,10,20,0,0.0,PRAX;HYMC;PACS;PALI;RHLD;IMMX;GLSI;NUVB;VICR;LITE;IVVD;GLUE;NAUT;VSCO;RLMD;REPL;SNDK;SLS;MLTX;JBIO,PRAX;HYMC;PACS;PALI;RHLD;IMMX;GLSI;NUVB;VICR;LITE;IVVD;GLUE;NAUT;VSCO;RLMD;REPL;SNDK;SLS;MLTX;JBIO,,,0.04333200875110441,0.04333200875110441,0.04333200875110441,0.0
Arm_R001_Downside,3,2026-01-14,2026-01-13,2026-01-29,2026-01-28,SW2,1,10,20,0,0.0,PRAX;HYMC;PACS;SNDK;RVMD;VICR;STTK;RHLD;LITE;FBRX;KOD;VSCO;GLUE;GOLD;RLMD;SLS;NAUT;ELA;HL;FOLD,PRAX;HYMC;PACS;SNDK;RVMD;VICR;STTK;RHLD;LITE;FBRX;KOD;VSCO;GLUE;GOLD;RLMD;SLS;NAUT;ELA;HL;FOLD,,,0.020719745180694756,0.020719745180694756,0.020719745180694756,0.0
Arm_R001_Downside,3,2026-01-29,2026-01-28,2026-02-12,2026-02-11,SW2,1,10,20,1,0.05,HYMC;GLSI;SNDK;GOLD;SATL;PACS;RHLD;IBRX;SKE;USAS;HL;PL;EGO;STTK;IAUX;FBRX;HLF;MOVE;TGB;IAG,HYMC;SNDK;GOLD;SATL;PACS;RHLD;IBRX;SKE;USAS;HL;PL;EGO;STTK;IAUX;FBRX;HLF;MOVE;TGB;IAG;PAAS,GLSI,PAAS,-0.06492186257072637,-0.06819972153788911,-0.06822472153788911,2.5e-05
Arm_R001_Downside,3,2026-02-12,2026-02-11,2026-02-27,2026-02-26,SW2,1,10,20,0,0.0,HYMC;GOLD;ICHR;PACS;SLS;LITE;IAUX;STTK;IMMX;SNDK;KLIC;SKE;FBRX;SRZN;HLF;STRO;USAS;TGB;ENLT;NX,HYMC;GOLD;ICHR;PACS;SLS;LITE;IAUX;STTK;IMMX;SNDK;KLIC;SKE;FBRX;SRZN;HLF;STRO;USAS;TGB;ENLT;NX,,,0.0822871632508278,0.0822871632508278,0.0822871632508278,0.0
Arm_R001_Downside,3,2026-02-27,2026-02-26,2026-03-13,2026-03-12,SW2,1,10,20,0,0.0,IBRX;SLS;ICHR;GOLD;SNDK;VICR;LITE;STRO;USAS;PL;SKYT;FET;STTK;SKE;IAUX;LASR;THM;IMMX;STKL;ENLT,IBRX;SLS;ICHR;GOLD;SNDK;VICR;LITE;STRO;USAS;PL;SKYT;FET;STTK;SKE;IAUX;LASR;THM;IMMX;STKL;ENLT,,,-0.04302801072898774,-0.04302801072898774,-0.04302801072898774,0.0
Arm_R001_Downside,3,2026-03-13,2026-03-12,2026-03-27,2026-03-26,SW2,1,10,20,0,0.0,HYMC;SOC;STRO;SNDK;SLS;GLSI;ICHR;VG;KOS;UMAC;STTK;PL;OCGN;TNGX;ENLT;ZURA;RCAT;LINC;REI;RYAM,HYMC;SOC;STRO;SNDK;SLS;GLSI;ICHR;VG;KOS;UMAC;STTK;PL;OCGN;TNGX;ENLT;ZURA;RCAT;LINC;REI;RYAM,,,-0.0036187448606336435,-0.0036187448606336435,-0.0036187448606336435,0.0
Arm_R001_Downside,3,2026-03-27,2026-03-26,2026-04-13,2026-04-10,SW2,1,10,20,0,0.0,IBRX;KOS;SATL;VG;ICHR;STRO;SNDK;ELVN;TNGX;VAL;STTK;PBF;EGY;REI;VIAV;PARR;SM;NAUT;RIG;NBR,IBRX;KOS;SATL;VG;ICHR;STRO;SNDK;ELVN;TNGX;VAL;STTK;PBF;EGY;REI;VIAV;PARR;SM;NAUT;RIG;NBR,,,-0.012759017149049645,-0.012759017149049645,-0.012759017149049645,0.0
