split,arm,delta_cvar5,delta_sharpe_cost_adj,mean_veto_rate_arm,mean_veto_rate_baseline
TRAIN,Arm_R001_Downside_R037_Severe,-0.0015743248356253348,0.02588413010029278,0.018392473118279573,0.0
TRAIN,Arm_R001_Any_Decomposition,-0.004062724334002454,0.041571767707447194,0.06782795698924732,0.0
HOLDOUT,Arm_R001_Downside_R037_Severe,0.020767720649508326,0.27620510823848077,0.12001436781609195,0.0
HOLDOUT,Arm_R001_Any_Decomposition,0.009606673725590403,0.2846162410482135,0.09562565308254964,0.0
SW1,Arm_R001_Downside_R037_Severe,0.002662492911592415,0.1827101081581851,0.08040540540540539,0.0
SW1,Arm_R001_Any_Decomposition,0.0002061060055504882,0.28687777616065346,0.07409672830725461,0.0
SW2,Arm_R001_Downside_R037_Severe,0.024322021264914673,0.3486723571889908,0.14961764705882355,0.0
SW2,Arm_R001_Any_Decomposition,0.00820483458327148,0.3207107068246028,0.11169411764705883,0.0
