arm,phase,split,n_cycles,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,baseline_cvar5,baseline_sharpe
Arm_R001_Any_Decomposition,0,SW2,50,-0.18573964835118942,1.1296666036998964,0.126,-0.19244894542877589,0.10987739506208775
Arm_R001_Any_Decomposition,1,SW2,50,-0.22479300059885418,1.308138780902209,0.114,-0.2451925662016824,1.024523129760792
Arm_R001_Any_Decomposition,2,SW2,50,-0.21564147192781094,2.594972974246815,0.135,-0.23278873877769587,1.5709437288661692
Arm_R001_Any_Decomposition,3,SW2,50,-0.20903846543293056,0.8326308854546781,0.109,-0.22629758142214698,0.7814260664510986
Arm_R001_Any_Decomposition,4,SW2,50,-0.21217993652595135,1.7588384722079,0.106,-0.21116247193787283,1.0019431197280824
Arm_R001_Any_Decomposition,5,SW2,50,-0.19472514744767058,-0.1384866130804611,0.107,-0.2019491340091045,0.021143302201571398
Arm_R001_Any_Decomposition,6,SW2,50,-0.20091678560737525,-1.01943650670782,0.09899999999999999,-0.1928992743677803,-0.30650684091141284
Arm_R001_Any_Decomposition,7,SW2,51,-0.1582496756915552,1.5945727659373141,0.10294117647058823,-0.1702260719523356,1.1525460124041065
Arm_R001_Any_Decomposition,8,SW2,50,-0.18392231071911783,2.071780039117412,0.10900000000000003,-0.18955155915661914,2.271836814534522
Arm_R001_Any_Decomposition,9,SW2,50,-0.1549563955919628,1.3520376736107322,0.109,-0.15969484047311938,0.649875279045632
Arm_R001_Downside,0,SW2,50,-0.18899563976968295,0.3580148937158782,0.01,-0.19244894542877589,0.10987739506208775
Arm_R001_Downside,1,SW2,50,-0.2451925662016824,1.0088887403592237,0.012000000000000002,-0.2451925662016824,1.024523129760792
Arm_R001_Downside,2,SW2,50,-0.23278873877769587,1.3090883553380726,0.019,-0.23278873877769587,1.5709437288661692
Arm_R001_Downside,3,SW2,50,-0.22629758142214698,1.04727272544583,0.009,-0.22629758142214698,0.7814260664510986
Arm_R001_Downside,4,SW2,50,-0.21116247193787283,1.0005868603222914,0.011000000000000001,-0.21116247193787283,1.0019431197280824
Arm_R001_Downside,5,SW2,50,-0.2026780168448432,0.1558997140397932,0.015000000000000003,-0.2019491340091045,0.021143302201571398
Arm_R001_Downside,6,SW2,50,-0.2042594440491461,-0.5814707198886744,0.01,-0.1928992743677803,-0.30650684091141284
Arm_R001_Downside,7,SW2,51,-0.1702260719523356,0.7864256630606766,0.011764705882352943,-0.1702260719523356,1.1525460124041065
