arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,is_holdout,holding_days,top_n,n_veto,veto_rate,n_spc_blocked_pool,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_A_1.00,7,2023-09-05,2023-09-01,2023-09-19,2023-09-18,SW1,1,10,20,3,0.15,0,SN;HHH;TOI;PHVS;VRT;ILPT;GCT;ROOT;VERA;ODC;VNO;PGY;PARR;KRT;STRL;MOD;REAL;SM;SLG;LMB,PHVS;VRT;ILPT;GCT;ROOT;VERA;ODC;VNO;PGY;PARR;KRT;STRL;MOD;REAL;SM;SLG;LMB;UPWK;MLTX;TNGX,HHH;SN;TOI,MLTX;TNGX;UPWK,-0.07481257794865835,-0.09144561533896724,-0.09152061533896724,7.500000000000001e-05
Arm_A_1.00,7,2023-09-19,2023-09-18,2023-10-03,2023-10-02,SW1,1,10,20,3,0.15,0,SN;HHH;TOI;TNGX;MLTX;WFRD;HLX;NAK;PDS;VNO;TIGR;MTRX;VRT;RSI;URG;PARR;SLG;IVVD;MMYT;SM,TNGX;MLTX;WFRD;HLX;NAK;PDS;VNO;TIGR;MTRX;VRT;RSI;URG;PARR;SLG;IVVD;MMYT;SM;NBR;MOD;LBRT,HHH;SN;TOI,LBRT;MOD;NBR,-0.0336543407474046,-0.037197517241177244,-0.03727251724117724,7.500000000000001e-05
Arm_A_1.00,7,2023-10-03,2023-10-02,2023-10-17,2023-10-16,SW1,1,10,20,4,0.2,0,SN;TNGX;SLNO;TOI;HHH;MTRX;LEU;MMYT;TIGR;PAY;VRT;HNRG;HRTG;HLX;MLKN;HRB;PRDO;WFRD;SPHR;IGIC,TOI;MTRX;LEU;MMYT;TIGR;PAY;VRT;HNRG;HRTG;HLX;MLKN;HRB;PRDO;WFRD;SPHR;IGIC;UROY;RNGR;RSI;OBE,HHH;SLNO;SN;TNGX,OBE;RNGR;RSI;UROY,-0.03325489702867142,-0.004250334220195713,-0.004350334220195713,0.0001
Arm_A_1.00,7,2023-10-17,2023-10-16,2023-10-31,2023-10-30,SW1,1,10,20,3,0.15,0,SN;HHH;SOLS;TOI;HNRG;SLNO;MTRX;GNE;URG;VRT;MMYT;TIGR;PR;PRDO;RELY;LEU;RNGR;STNG;WFRD;HRB,SOLS;TOI;HNRG;MTRX;GNE;URG;VRT;MMYT;TIGR;PR;PRDO;RELY;LEU;RNGR;STNG;WFRD;HRB;PAY;MLKN;HLX,HHH;SLNO;SN,HLX;MLKN;PAY,-0.02508036548611654,-0.03250360030310485,-0.032578600303104846,7.500000000000001e-05
Arm_A_1.00,7,2023-10-31,2023-10-30,2023-11-14,2023-11-13,SW1,1,10,20,2,0.1,0,HHH;SLNO;TNGX;MTRX;TOI;GNE;HNRG;LRN;URG;RELY;SRRK;LEU;PRDO;IMMX;RNGR;MUSA;PR;NATR;SKYH;SPH,TNGX;MTRX;TOI;GNE;HNRG;LRN;URG;RELY;SRRK;LEU;PRDO;IMMX;RNGR;MUSA;PR;NATR;SKYH;SPH;OBE;SKWD,HHH;SLNO,OBE;SKWD,0.006696742458714064,0.006021932525020005,0.005971932525020005,5e-05
Arm_A_1.00,7,2023-11-14,2023-11-13,2023-11-29,2023-11-28,SW1,1,10,20,2,0.1,0,TOI;SLNO;IMMX;SKYH;MTRX;TLS;GNE;LPG;LRN;URG;IBRX;FN;SN;TIGR;USAC;UROY;METCB;GEO;MSTR;RBLX,IMMX;SKYH;MTRX;TLS;GNE;LPG;LRN;URG;IBRX;FN;SN;TIGR;USAC;UROY;METCB;GEO;MSTR;RBLX;SRRK;LOPE,SLNO;TOI,LOPE;SRRK,0.02573091228140188,0.03326384521319364,0.033213845213193635,5e-05
Arm_A_1.00,7,2023-11-29,2023-11-28,2023-12-13,2023-12-12,SW1,1,10,20,1,0.05,0,SLNO;IMMX;IBRX;TOI;SKYH;SRRK;PRCH;PLSE;HRTG;LPG;TLS;GNE;FEIM;UTI;GEO;GIII;FG;SOPH;LRN;SKWD,IMMX;IBRX;TOI;SKYH;SRRK;PRCH;PLSE;HRTG;LPG;TLS;GNE;FEIM;UTI;GEO;GIII;FG;SOPH;LRN;SKWD;RBLX,SLNO,RBLX,0.04328007273779038,0.03179298566339545,0.031767985663395455,2.5e-05
Arm_A_1.00,7,2023-12-13,2023-12-12,2023-12-28,2023-12-27,SW1,1,10,20,2,0.1,0,SLNO;SRRK;SKYH;PRCH;PLSE;GNE;IBRX;TLS;HNST;SNAP;FG;RYTM;FEIM;MSTR;SOPH;RBLX;S;VRNS;MLKN;KTOS,SKYH;PRCH;PLSE;GNE;IBRX;TLS;HNST;SNAP;FG;RYTM;FEIM;MSTR;SOPH;RBLX;S;VRNS;MLKN;KTOS;IMMX;VITL,SLNO;SRRK,IMMX;VITL,0.10839107334864359,0.128883353803284,0.128833353803284,5e-05
Arm_A_1.00,7,2023-12-28,2023-12-27,2024-01-12,2024-01-11,SW1,1,10,20,4,0.2,0,PRCH;STTK;IBRX;PLSE;SRRK;HNST;UP;GCT;SLDB;RYTM;SKYH;GNE;MSTR;SNAP;LDI;SOPH;RIOT;IVVD;LQDA;TGTX,SRRK;HNST;UP;GCT;SLDB;RYTM;SKYH;GNE;MSTR;SNAP;LDI;SOPH;RIOT;IVVD;LQDA;TGTX;RKT;STNE;THM;ZYME,IBRX;PLSE;PRCH;STTK,RKT;STNE;THM;ZYME,-0.08940655110458995,-0.07380382167498133,-0.07390382167498133,0.0001
Arm_A_1.00,7,2024-01-12,2024-01-11,2024-01-29,2024-01-26,SW1,1,10,20,4,0.2,0,STTK;PRCH;SLDB;IBRX;HNST;TGTX;SKYH;NAMS;UP;GCT;KYMR;IVVD;HOV;LQDA;SNAP;STKL;LDI;SANA;KOPN;PBYI,HNST;TGTX;SKYH;NAMS;UP;GCT;KYMR;IVVD;HOV;LQDA;SNAP;STKL;LDI;SANA;KOPN;PBYI;LAES;PLSE;SRRK;VRDN,IBRX;PRCH;SLDB;STTK,LAES;PLSE;SRRK;VRDN,-0.008915356876864813,-0.03379869184050109,-0.033898691840501094,0.0001
