arm,phase,split,n_cycles,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,baseline_cvar5,baseline_sharpe
Arm_A_1.00,0,SW2,42,-0.18559688333597787,2.094920789428526,0.37023809523809526,-0.24216472332539074,0.04883782314998858
Arm_A_1.00,1,SW2,41,-0.18152385347995145,0.5370990612260658,0.3902439024390244,-0.22344497931726526,-0.9804360413801053
Arm_A_1.00,2,SW2,41,-0.17072599557638338,-0.1708294806918544,0.36463414634146346,-0.2141776587317696,-0.6236039038160699
Arm_A_1.00,3,SW2,42,-0.1374430925724072,1.3045428042538039,0.36428571428571427,-0.17839624029132048,0.674620696763652
Arm_A_1.00,4,SW2,42,-0.15987031785363026,1.5461764940423113,0.3738095238095238,-0.1999573530624462,0.7864324638248767
Arm_A_1.00,5,SW2,42,-0.18236508832917653,0.523813764614938,0.3761904761904762,-0.17173562974613157,-0.3989561305933481
Arm_A_1.00,6,SW2,42,-0.199861848187994,1.5934985733841782,0.3773809523809524,-0.21284826692765313,0.3686623711152629
Arm_A_1.00,7,SW2,42,-0.2009049937890399,1.4533111479625855,0.38333333333333336,-0.2550554485063557,-0.2134994517470765
Arm_A_1.00,8,SW2,42,-0.16410065480857702,3.1099317899109757,0.3666666666666667,-0.2454063389567637,0.19414010811669535
Arm_A_1.00,9,SW2,42,-0.19826841995123093,1.8866926758155074,0.3761904761904762,-0.25779411603333174,0.8439103731608825
Arm_A_1.00_SPC,0,SW2,42,-0.18377424368563125,2.4086133894325212,0.42619047619047623,-0.24216472332539074,0.04883782314998858
Arm_A_1.00_SPC,1,SW2,41,-0.18136133196073026,0.8266026329486007,0.43780487804878054,-0.22344497931726526,-0.9804360413801053
Arm_A_1.00_SPC,2,SW2,41,-0.17624411326373635,-0.7487212289264775,0.4121951219512195,-0.2141776587317696,-0.6236039038160699
Arm_A_1.00_SPC,3,SW2,42,-0.1313190736831781,0.5886047652207671,0.41904761904761906,-0.17839624029132048,0.674620696763652
Arm_A_1.00_SPC,4,SW2,42,-0.15924164300174495,1.2220783489335068,0.4214285714285715,-0.1999573530624462,0.7864324638248767
Arm_A_1.00_SPC,5,SW2,42,-0.16330656473326646,0.6090441388245157,0.43452380952380953,-0.17173562974613157,-0.3989561305933481
Arm_A_1.00_SPC,6,SW2,42,-0.1967440762645233,1.8488559940821385,0.4488095238095238,-0.21284826692765313,0.3686623711152629
Arm_A_1.00_SPC,7,SW2,42,-0.1917636294689674,2.113148206414314,0.4416666666666667,-0.2550554485063557,-0.2134994517470765
Arm_A_1.00_SPC,8,SW2,42,-0.15984403637700131,3.256898068013998,0.43928571428571417,-0.2454063389567637,0.19414010811669535
Arm_A_1.00_SPC,9,SW2,42,-0.19826841995123093,1.19627980602615,0.4309523809523809,-0.25779411603333174,0.8439103731608825
Baseline,0,SW2,42,-0.24216472332539074,0.04883782314998858,0.0,-0.24216472332539074,0.04883782314998858
Baseline,1,SW2,41,-0.22344497931726526,-0.9804360413801053,0.0,-0.22344497931726526,-0.9804360413801053
Baseline,2,SW2,41,-0.2141776587317696,-0.6236039038160699,0.0,-0.2141776587317696,-0.6236039038160699
Baseline,3,SW2,42,-0.17839624029132048,0.674620696763652,0.0,-0.17839624029132048,0.674620696763652
Baseline,4,SW2,42,-0.1999573530624462,0.7864324638248767,0.0,-0.1999573530624462,0.7864324638248767
Baseline,5,SW2,42,-0.17173562974613157,-0.3989561305933481,0.0,-0.17173562974613157,-0.3989561305933481
Baseline,6,SW2,42,-0.21284826692765313,0.3686623711152629,0.0,-0.21284826692765313,0.3686623711152629
Baseline,7,SW2,42,-0.2550554485063557,-0.2134994517470765,0.0,-0.2550554485063557,-0.2134994517470765
Baseline,8,SW2,42,-0.2454063389567637,0.19414010811669535,0.0,-0.2454063389567637,0.19414010811669535
Baseline,9,SW2,42,-0.25779411603333174,0.8439103731608825,0.0,-0.25779411603333174,0.8439103731608825
