date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,rebalance_cadence,is_rebalance_day,inter_rebalance_age,equity_base100
2024-06-05,ARM_V1,100021.1507936508,100021.1507936508,0.0,0,0.0,0.0,0.00021150793650793651,0,10,1,-1,100.0
2024-06-06,ARM_V1,100042.3060608623,100042.3060608623,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.02115079365079
2024-06-07,ARM_V1,100063.46580258073,100063.46580258073,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.04230606086229
2024-06-10,ARM_V1,100084.63001975247,100084.63001975247,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.06346580258072
2024-06-11,ARM_V1,100105.79871332411,100105.79871332411,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.08463001975247
2024-06-12,ARM_V1,100126.97188424245,100126.97188424245,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.1057987133241
2024-06-13,ARM_V1,100148.14953345447,100148.14953345447,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.12697188424244
2024-06-14,ARM_V1,100169.33166190739,100169.33166190739,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.14814953345447
2024-06-17,ARM_V1,100190.51827054858,100190.51827054858,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.16933166190738
2024-06-18,ARM_V1,100211.70936032564,100211.70936032564,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.19051827054857
2024-06-20,ARM_V1,100232.90493218637,100232.90493218637,0.0,0,0.0,0.0,0.00021150793650793651,0,10,1,-1,100.21170936032564
2024-06-21,ARM_V1,100254.10498707877,100254.10498707877,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.23290493218636
2024-06-24,ARM_V1,100275.30952595103,100275.30952595103,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.25410498707876
2024-06-25,ARM_V1,100296.51854975156,100296.51854975156,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.27530952595103
2024-06-26,ARM_V1,100317.73205942895,100317.73205942895,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.29651854975154
2024-06-27,ARM_V1,100338.950055932,100338.950055932,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.31773205942895
2024-06-28,ARM_V1,100360.1725402097,100360.1725402097,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.338950055932
2024-07-01,ARM_V1,100381.39951321126,100381.39951321126,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.3601725402097
2024-07-02,ARM_V1,100402.63097588607,100402.63097588607,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.38139951321125
2024-07-03,ARM_V1,100423.86692918374,100423.86692918374,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.40263097588607
2024-07-05,ARM_V1,100445.10737405407,100445.10737405407,0.0,0,0.0,0.0,0.00021150793650793651,0,10,1,-1,100.42386692918373
2024-07-08,ARM_V1,100466.35231144707,100466.35231144707,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.44510737405406
2024-07-09,ARM_V1,100487.60174231295,100487.60174231295,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.46635231144707
2024-07-10,ARM_V1,100508.8556676021,100508.8556676021,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.48760174231295
2024-07-11,ARM_V1,100530.11408826512,100530.11408826512,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.50885566760208
2024-07-12,ARM_V1,100551.37700525284,100551.37700525284,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.53011408826511
2024-07-15,ARM_V1,100572.64441951625,100572.64441951625,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.55137700525283
2024-07-16,ARM_V1,100593.91633200657,100593.91633200657,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.57264441951625
2024-07-17,ARM_V1,100615.1927436752,100615.1927436752,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.59391633200656
2024-07-18,ARM_V1,100636.47365547376,100636.47365547376,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.61519274367518
2024-07-19,ARM_V1,100657.75906835406,100657.75906835406,0.0,0,0.0,0.0,0.00021150793650793651,0,10,1,-1,100.63647365547375
2024-07-22,ARM_V1,100679.04898326812,100679.04898326812,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.65775906835405
2024-07-23,ARM_V1,100700.34340116815,100700.34340116815,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.67904898326812
2024-07-24,ARM_V1,100721.64232300657,100721.64232300657,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.70034340116814
2024-07-25,ARM_V1,100742.945749736,100742.945749736,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.72164232300655
2024-07-26,ARM_V1,100764.25368230925,100764.25368230925,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.742945749736
2024-07-29,ARM_V1,100785.56612167935,100785.56612167935,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.76425368230923
2024-07-30,ARM_V1,100806.88306879954,100806.88306879954,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.78556612167935
2024-07-31,ARM_V1,100828.20452462322,100828.20452462322,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.80688306879952
2024-08-01,ARM_V1,100849.53049010402,100849.53049010402,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.82820452462322
2024-08-02,ARM_V1,100870.86096619577,100870.86096619577,0.0,0,0.0,0.0,0.00021150793650793651,0,10,1,-1,100.84953049010402
2024-08-05,ARM_V1,100892.19595385251,100892.19595385251,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.87086096619578
2024-08-06,ARM_V1,100913.53545402846,100913.53545402846,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.89219595385251
2024-08-07,ARM_V1,100934.87946767807,100934.87946767807,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.91353545402846
2024-08-08,ARM_V1,100956.22799575595,100956.22799575595,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.93487946767806
2024-08-09,ARM_V1,100977.58103921695,100977.58103921695,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.95622799575594
2024-08-12,ARM_V1,100998.93859901612,100998.93859901612,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.97758103921694
2024-08-13,ARM_V1,101020.30067610869,101020.30067610869,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,100.99893859901611
2024-08-14,ARM_V1,101041.6672714501,101041.6672714501,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,101.02030067610868
2024-08-15,ARM_V1,101063.03838599601,101063.03838599601,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,101.0416672714501
2024-08-16,ARM_V1,101084.41402070226,101084.41402070226,0.0,0,0.0,0.0,0.00021150793650793651,0,10,1,-1,101.06303838599602
2024-08-19,ARM_V1,101105.79417652488,101105.79417652488,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,101.08441402070225
2024-08-20,ARM_V1,101127.17885442016,101127.17885442016,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,101.10579417652488
2024-08-21,ARM_V1,101148.56805534453,101148.56805534453,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,101.12717885442015
2024-08-22,ARM_V1,101169.96178025464,101169.96178025464,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,101.14856805534451
2024-08-23,ARM_V1,101191.36003010737,101191.36003010737,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,101.16996178025464
2024-08-26,ARM_V1,101212.76280585978,101212.76280585978,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,101.19136003010738
2024-08-27,ARM_V1,101234.17010846912,101234.17010846912,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,101.21276280585978
2024-08-28,ARM_V1,101255.58193889285,101255.58193889285,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,101.23417010846912
2024-08-29,ARM_V1,101276.99829808866,101276.99829808866,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,101.25558193889283
2024-08-30,ARM_V1,101298.4191870144,101298.4191870144,0.0,0,0.0,0.0,0.00021150793650793651,0,10,1,-1,101.27699829808864
2024-09-03,ARM_V1,101319.84460662816,101319.84460662816,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,101.29841918701439
2024-09-04,ARM_V1,101341.27455788822,101341.27455788822,0.0,0,0.0,0.0,0.00021150793650793651,0,10,0,-1,101.31984460662815
