arm,threshold,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,holding_days,top_n,n_veto,veto_rate,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_A_0.80,0.8,4,2026-02-05,2026-02-04,2026-02-20,2026-02-19,HOLDOUT,10,20,11,0.55,HYMC;LIFE;GLSI;SNDK;FBRX;IBRX;PACS;GOLD;LITE;SLS;HLF;IAUX;SKE;SATL;USAS;TGB;MOVE;STTK;SKYT;HL,HLF;IAUX;SKE;SATL;USAS;TGB;STTK;SKYT;HL;NATR;RGC;LAR;SRZN;PANL;KMT;ICHR;IMMX;HUN;JBIO;IAG,FBRX;GLSI;GOLD;HYMC;IBRX;LIFE;LITE;MOVE;PACS;SLS;SNDK,HUN;IAG;ICHR;IMMX;JBIO;KMT;LAR;NATR;PANL;RGC;SRZN,0.031191433620483357,0.06622969064410107,0.06595469064410107,0.00027499999999999996
Arm_A_0.80,0.8,4,2026-02-20,2026-02-19,2026-03-06,2026-03-05,HOLDOUT,10,20,12,0.6,IBRX;HYMC;LIFE;ICHR;GOLD;GLSI;PACS;LITE;SLS;SNDK;SATL;HLF;RGC;PL;STRO;STTK;SRZN;KLIC;USAS;LASR,HLF;PL;STRO;STTK;SRZN;KLIC;USAS;LASR;SOLS;NX;SKE;ENLT;IAUX;LPTH;ENTG;LIND;VICR;LUNR;MKSI;MOG.A,GLSI;GOLD;HYMC;IBRX;ICHR;LIFE;LITE;PACS;RGC;SATL;SLS;SNDK,ENLT;ENTG;IAUX;LIND;LPTH;LUNR;MKSI;MOG.A;NX;SKE;SOLS;VICR,0.008689110525213966,-0.010771245660079368,-0.011071245660079368,0.00030000000000000003
Arm_A_0.80,0.8,5,2018-10-24,2018-10-23,2018-11-07,2018-11-06,TRAIN,10,20,2,0.1,TLRY;KALV;LQDA;GOGO;MGTX;SSP;FEIM;KNSA;MKC.V;NVAX;PLAY;ICL;RLGT;IAC;NXRT;GKOS;HCKT;IDT;HLIT;IIIV,LQDA;GOGO;MGTX;SSP;FEIM;KNSA;MKC.V;NVAX;PLAY;ICL;RLGT;IAC;NXRT;GKOS;HCKT;IDT;HLIT;IIIV;S;RGEN,KALV;TLRY,RGEN;S,-0.004769072302635397,0.01452432380618254,0.01447432380618254,5e-05
Arm_A_0.80,0.8,5,2018-11-07,2018-11-06,2018-11-21,2018-11-20,TRAIN,10,20,1,0.05,TLRY;GOGO;SRRK;PACB;MGTX;LOCO;RGEN;SBH;HZO;MKC.V;IIIV;UVV;ELF;SSP;KNSA;HCKT;GILT;RLGT;EBS;ENSG,GOGO;SRRK;PACB;MGTX;LOCO;RGEN;SBH;HZO;MKC.V;IIIV;UVV;ELF;SSP;KNSA;HCKT;GILT;RLGT;EBS;ENSG;IDT,TLRY,IDT,-0.0885300489706306,-0.08124729185921144,-0.08127229185921143,2.5e-05
Arm_A_0.80,0.8,5,2018-11-21,2018-11-20,2018-12-07,2018-12-06,TRAIN,10,20,1,0.05,TLRY;NWPX;IDT;PACB;RLGT;LRN;MKC.V;GOLD;NAK;TR;IIPR;SSRM;SBH;HELE;GHC;FEIM;VIRT;SAFE;ZBIO;LOCO,NWPX;IDT;PACB;RLGT;LRN;MKC.V;GOLD;NAK;TR;IIPR;SSRM;SBH;HELE;GHC;FEIM;VIRT;SAFE;ZBIO;LOCO;JCAP,TLRY,JCAP,-0.0235946143308965,-0.018589129600762134,-0.018614129600762135,2.5e-05
Arm_A_0.80,0.8,5,2018-12-07,2018-12-06,2018-12-21,2018-12-20,TRAIN,10,20,0,0.0,VNDA;GNE;GOLD;LRN;TR;SSRM;PACB;MKC.V;GHC;GIL;FEIM;NWPX;ENSG;NXRT;EBS;JBGS;VIRT;FNV;NAT;NVAX,VNDA;GNE;GOLD;LRN;TR;SSRM;PACB;MKC.V;GHC;GIL;FEIM;NWPX;ENSG;NXRT;EBS;JBGS;VIRT;FNV;NAT;NVAX,,,-0.06684177524648945,-0.06684177524648945,-0.06684177524648945,0.0
Arm_A_0.80,0.8,5,2018-12-21,2018-12-20,2019-01-08,2019-01-07,TRAIN,10,20,0,0.0,ZBIO;GOLD;SSRM;LRN;MITK;TR;UTI;YORW;MLAB;GIG;HE;GNE;HYAC;MKC.V;GHC;FNV;NWE;PACB;HLF;POR,ZBIO;GOLD;SSRM;LRN;MITK;TR;UTI;YORW;MLAB;GIG;HE;GNE;HYAC;MKC.V;GHC;FNV;NWE;PACB;HLF;POR,,,-0.10669963356615284,-0.10669963356615284,-0.10669963356615284,0.0
Arm_A_0.80,0.8,5,2019-01-08,2019-01-07,2019-01-23,2019-01-22,TRAIN,10,20,0,0.0,MITK;UTI;LRN;SSRM;KRYS;LQDT;PACB;VCYT;LGIH;LOCO;VIRT;MLAB;TFSL;GNE;TR;HLF;GHC;LION;HYAC;IIIV,MITK;UTI;LRN;SSRM;KRYS;LQDT;PACB;VCYT;LGIH;LOCO;VIRT;MLAB;TFSL;GNE;TR;HLF;GHC;LION;HYAC;IIIV,,,0.021553675021676325,0.021553675021676325,0.021553675021676325,0.0
Arm_A_0.80,0.8,5,2019-01-23,2019-01-22,2019-02-06,2019-02-05,TRAIN,10,20,0,0.0,UTI;LRN;LQDT;VCYT;VHI;LGIH;LOCO;IIPR;PKE;PACB;MLAB;VCTR;MITK;RDVT;GNE;GHC;TFSL;GLOB;VCEL;MLR,UTI;LRN;LQDT;VCYT;VHI;LGIH;LOCO;IIPR;PKE;PACB;MLAB;VCTR;MITK;RDVT;GNE;GHC;TFSL;GLOB;VCEL;MLR,,,0.008234477034614027,0.008234477034614027,0.008234477034614027,0.0
Arm_A_0.80,0.8,5,2019-02-06,2019-02-05,2019-02-21,2019-02-20,TRAIN,10,20,0,0.0,NAK;IIPR;LRN;NVCR;SSRM;GNE;PNRG;MLR;VCTR;LION;LGIH;MLAB;ENB;LQDT;PBYI;KURA;LSCC;GLOB;UTI;LPLA,NAK;IIPR;LRN;NVCR;SSRM;GNE;PNRG;MLR;VCTR;LION;LGIH;MLAB;ENB;LQDT;PBYI;KURA;LSCC;GLOB;UTI;LPLA,,,0.03855165578576107,0.03855165578576107,0.03855165578576107,0.0
