sample_group,signal,lookback_L,n,in_top_n_next_rate,became_instavel_1_rate,log_ret_1_mean,log_ret_1_std,became_instavel_3_rate,log_ret_3_mean,log_ret_3_std,became_instavel_5_rate,log_ret_5_mean,log_ret_5_std
CANDIDATE_IGNITION,CAINDO,1,3724,0.23551603341417407,0.07894736842105263,-0.000236198318375074,0.04371378614245945,0.12469766191883902,0.0003430793223101895,0.07699124332348492,0.17025282409897793,-0.0026559352929953774,0.09477653948991051
CANDIDATE_IGNITION,ESTAVEL,1,1282,0.19561815336463223,0.057722308892355696,0.0007112906392578872,0.03799634044546968,0.10304449648711944,0.001447239229419379,0.06609510661006804,0.14676034348165495,0.0023691354908918576,0.07967220181549564
CANDIDATE_IGNITION,SUBINDO,1,6914,0.226777147841256,0.10240092565808505,0.00023307081391733331,0.04910628541460202,0.15561667631731327,-0.001562904905555353,0.07766898157327068,0.1988694013625163,-0.0016425829107731002,0.1014202488782427
CANDIDATE_IGNITION,CAINDO,2,3271,0.22914110429447854,0.07031488841332925,0.00010028158371236751,0.04286330234146233,0.11719706242350061,-0.0003403372095827204,0.07839306128861778,0.16105327617881202,-0.002461516158538958,0.09441070234032235
CANDIDATE_IGNITION,ESTAVEL,2,838,0.20793269230769232,0.0405727923627685,-0.0017013532841115447,0.03451504210380185,0.08482676224611709,-0.0010231040356053211,0.060328520807460526,0.13022700119474312,-0.0009795485468921318,0.08041316484207721
CANDIDATE_IGNITION,SUBINDO,2,7800,0.22691564713457824,0.1041025641025641,0.00033807473909779545,0.04884309263748974,0.15576084167308185,-0.000713330023044597,0.07688836633362013,0.19976875642343267,-0.0012002569814063581,0.10002976622378414
CANDIDATE_IGNITION,CAINDO,3,2859,0.2277992277992278,0.055613850996852045,0.0006997674472472229,0.04225744993098754,0.09663865546218488,0.0015566273064839434,0.08164780992507703,0.13585434173669467,0.00039165830498715583,0.10406721623225247
CANDIDATE_IGNITION,ESTAVEL,3,633,0.21044303797468356,0.05529225908372828,-0.0018827514008810746,0.04031345437624898,0.0947867298578199,-0.00034484717695668364,0.06335126204549697,0.13270142180094788,-0.0020573001579343524,0.07734701119808979
CANDIDATE_IGNITION,SUBINDO,3,8408,0.22696306920043027,0.10478116079923883,6.32836063711666e-05,0.048104598986550444,0.15843351981906917,-0.0014400908287771344,0.07521672632799897,0.2044343783526046,-0.0021303518291503373,0.09615652117872557
CANDIDATE_IGNITION,CAINDO,5,2067,0.22216820612542537,0.059506531204644414,0.0008419200798377774,0.042684106562138294,0.10556900726392252,0.0004367070285533506,0.08087992150042378,0.14188861985472154,-0.0019062708922185372,0.09809746269822853
CANDIDATE_IGNITION,ESTAVEL,5,462,0.23427331887201736,0.04329004329004329,0.00010773644902091763,0.037380446386891,0.08225108225108226,-0.0023842825687321583,0.06586840290900366,0.14099783080260303,-0.002803627690847759,0.08027218594982147
