split,delta_cvar5,delta_sharpe_cost_adj,mean_veto_rate_sens,mean_veto_rate_baseline
TRAIN,0.0008395154425587248,-0.006027099534964719,0.010172043010752687,0.0
HOLDOUT,0.015764450802236596,0.7537499970888619,0.07599921630094045,0.0
SW1,0.009436996198913625,0.6684169629311245,0.05014580369843528,0.0
SW2,0.021056125908292894,0.8248503123488451,0.09531960784313726,0.0
