phase,date,ticker,ret_62,late_rocket,forward_logret,split
0,2021-10-19,ENTA,0.5034840142836218,0,0.21238195488305256,TRAIN
0,2021-10-19,FLNG,0.4059530320017185,0,-0.009311510552069186,TRAIN
0,2021-10-19,GDYN,0.43936665978384587,0,-0.05129329438755058,TRAIN
0,2021-10-19,HRI,0.4597339626082796,0,-0.011028331041478084,TRAIN
0,2021-10-19,HUT,1.0425683915219615,1,0.16093036681263692,TRAIN
0,2021-10-19,KOS,0.5206537127022535,0,-0.05013581242435534,TRAIN
0,2021-10-19,LAC,0.5884911383373826,0,0.13519276608264438,TRAIN
0,2021-10-19,LC,0.7042036206976746,0,0.34702976711569067,TRAIN
0,2021-10-19,LEU,0.7259236514459038,0,0.19284744548658325,TRAIN
0,2021-10-19,MGY,0.38870627680982794,0,0.04438877904100594,TRAIN
0,2021-10-19,MNDY,0.5451211770131656,0,0.029945562077976228,TRAIN
0,2021-10-19,PCTY,0.3575557004566112,0,0.05689487298430095,TRAIN
0,2021-10-19,RSI,0.6499608819068147,0,0.04845577192421599,TRAIN
0,2021-10-19,SITM,0.5331372339027027,0,0.19105523676270922,TRAIN
0,2021-10-19,SPSC,0.4943899802425626,0,-0.11817815442510611,TRAIN
0,2021-10-19,TIPT,0.5095748418643379,0,-0.017040488070598794,TRAIN
0,2021-10-19,TNET,0.3049688528476942,0,0.029181644968893614,TRAIN
0,2021-10-19,UPST,1.168199938244862,1,-0.1058216398519607,TRAIN
0,2021-10-19,VNOM,0.3635339581201149,0,-0.10281717716081776,TRAIN
0,2021-10-19,WFRD,0.4747440617026313,0,0.12361395596717682,TRAIN
0,2021-11-02,ENTA,0.6939707584640179,0,0.055471311919427314,TRAIN
0,2021-11-02,ENVX,0.618569737074474,0,0.17480616994092485,TRAIN
0,2021-11-02,HRI,0.4366878836791903,0,0.04470225824636695,TRAIN
0,2021-11-02,HRMY,0.47676908138944135,0,-0.04761670739167705,TRAIN
0,2021-11-02,HUT,0.9889226083056875,1,0.03974032864951412,TRAIN
0,2021-11-02,KOS,0.6405693644800381,0,-0.0500763379801762,TRAIN
0,2021-11-02,LAC,0.7779860604969749,0,0.1371134860070271,TRAIN
0,2021-11-02,LEU,0.9953017671153223,1,0.2105459540582365,TRAIN
0,2021-11-02,LOB,0.44948363718177925,0,0.04289741987345787,TRAIN
0,2021-11-02,LQDA,0.5160749796521346,0,0.24078801529391863,TRAIN
0,2021-11-02,MGY,0.4842384139610211,0,-0.054580568304136275,TRAIN
0,2021-11-02,OCGN,0.7221767952350591,0,-0.5213722220031118,TRAIN
0,2021-11-02,PBT,0.47625816009926386,0,0.008358257614201245,TRAIN
0,2021-11-02,RSI,0.7577812628806363,0,-0.027120306219193896,TRAIN
0,2021-11-02,SITM,0.648031109699848,0,-0.03903672651850099,TRAIN
0,2021-11-02,SM,0.7446703335854459,0,-0.05296096779512841,TRAIN
0,2021-11-02,SSYS,0.5454477279640808,0,-0.028044797410329465,TRAIN
0,2021-11-02,UPST,0.990887500226338,1,-0.38838099975802787,TRAIN
0,2021-11-02,VET,0.48719084563199344,0,-0.09593817964553575,TRAIN
0,2021-11-02,WFRD,0.6075973812097809,0,0.029882701600012704,TRAIN
0,2021-11-16,EGY,0.5371429320833645,0,-0.2296582323354034,TRAIN
0,2021-11-16,ENTA,0.6335440494228328,0,-0.017961865928592724,TRAIN
0,2021-11-16,ENVX,0.8694153390653694,1,0.07072907168818592,TRAIN
0,2021-11-16,HUT,0.8846702030853096,1,-0.19400955509536907,TRAIN
0,2021-11-16,KOS,0.6353883464077528,0,-0.010869672236903879,TRAIN
0,2021-11-16,LAC,0.688984224800635,0,0.15814405783476357,TRAIN
0,2021-11-16,LCID,0.6882571952657532,0,0.16592222262948272,TRAIN
0,2021-11-16,LEU,1.1498070005314454,1,-0.29781259971952784,TRAIN
0,2021-11-16,LOB,0.524140836868701,0,-0.0668506608959508,TRAIN
0,2021-11-16,LQDA,0.6808770879681306,0,-0.1579301036697954,TRAIN
0,2021-11-16,MTDR,0.5441081909385508,0,-0.1386430828303862,TRAIN
0,2021-11-16,PBF,0.6481030928134875,0,-0.2068908804240475,TRAIN
0,2021-11-16,PBT,0.4982220697692439,0,0.0766527186283453,TRAIN
0,2021-11-16,REAX,0.5443015529623807,0,0.14884562759756498,TRAIN
0,2021-11-16,RRC,0.5657983554894718,0,-0.16721137919750562,TRAIN
0,2021-11-16,SM,0.7913392067391586,0,-0.18088374202432708,TRAIN
0,2021-11-16,UROY,0.7122682220067238,0,-0.2336148511815052,TRAIN
0,2021-11-16,UUUU,0.7710824058939172,0,-0.16475523307605533,TRAIN
