arm,phase,split,n_cycles,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,baseline_cvar5,baseline_sharpe
Arm_BandExpRet62,0,SW2,50,-0.19250727876210924,0.10050639688647198,0.09799999999999999,-0.20073468601972136,0.13548842808156678
Arm_BandExpRet62,1,SW2,50,-0.24525923286834905,1.016109607625016,0.09799999999999999,-0.2656260604897001,-0.1152910468128588
Arm_BandExpRet62,2,SW2,50,-0.2328970721110292,1.5628913513555198,0.09200000000000001,-0.27564632823968277,-0.04720920086249189
Arm_BandExpRet62,3,SW2,50,-0.22638091475548036,0.7727577763013136,0.096,-0.2547018846051643,0.24127196868471568
Arm_BandExpRet62,4,SW2,50,-0.21121247193787282,0.9925468392427654,0.10099999999999999,-0.24464806205990627,0.15964018174215577
Arm_BandExpRet62,5,SW2,50,-0.20199080067577116,0.011777282816977137,0.09700000000000002,-0.22184959777020433,-1.050491246448356
Arm_BandExpRet62,6,SW2,50,-0.19296594103444695,-0.3168305262675175,0.098,-0.22025947846537944,-1.3542143399636026
Arm_BandExpRet62,7,SW2,51,-0.1702927386190023,1.143390554403776,0.09019607843137256,-0.18700647924530545,0.23216544745989073
Arm_BandExpRet62,8,SW2,50,-0.1895682258232858,2.2636068024661617,0.08900000000000001,-0.19751545097843637,1.8338499230323018
Arm_BandExpRet62,9,SW2,50,-0.15974484047311938,0.640452650231835,0.094,-0.16539274826989464,-0.09650450333945265
Arm_BandExp_Isolado,0,SW2,50,-0.20008192975780056,0.5745056764184892,0.175,-0.20073468601972136,0.13548842808156678
Arm_BandExp_Isolado,1,SW2,50,-0.25184207520535423,0.49447180941580193,0.18100000000000002,-0.2656260604897001,-0.1152910468128588
Arm_BandExp_Isolado,2,SW2,50,-0.21743051369051047,1.7794337503177913,0.175,-0.27564632823968277,-0.04720920086249189
Arm_BandExp_Isolado,3,SW2,50,-0.22294176688291534,0.9419597729891304,0.185,-0.2547018846051643,0.24127196868471568
Arm_BandExp_Isolado,4,SW2,50,-0.1882437671754709,1.5613202690458419,0.19599999999999995,-0.24464806205990627,0.15964018174215577
Arm_BandExp_Isolado,5,SW2,50,-0.19792252262135968,0.4969641629132488,0.19599999999999998,-0.22184959777020433,-1.050491246448356
Arm_BandExp_Isolado,6,SW2,50,-0.1908563258141699,-0.26598339628086487,0.196,-0.22025947846537944,-1.3542143399636026
Arm_BandExp_Isolado,7,SW2,51,-0.1649337113775974,1.4796614822257965,0.1803921568627451,-0.18700647924530545,0.23216544745989073
Arm_BandExp_Isolado,8,SW2,50,-0.18471558576979763,1.471510901809646,0.17199999999999996,-0.19751545097843637,1.8338499230323018
Arm_BandExp_Isolado,9,SW2,50,-0.18298304683049935,0.6416441580040181,0.176,-0.16539274826989464,-0.09650450333945265
Arm_Ret62_Isolado,0,SW2,50,-0.17942919151277215,2.4635437842241097,0.324,-0.20073468601972136,0.13548842808156678
Arm_Ret62_Isolado,1,SW2,50,-0.19333222062623978,1.607243789951547,0.341,-0.2656260604897001,-0.1152910468128588
Arm_Ret62_Isolado,2,SW2,50,-0.18247389442820403,3.010195089597844,0.32299999999999995,-0.27564632823968277,-0.04720920086249189
Arm_Ret62_Isolado,3,SW2,50,-0.19023326744797264,1.5779394534582574,0.327,-0.2547018846051643,0.24127196868471568
Arm_Ret62_Isolado,4,SW2,50,-0.19052466557589795,2.139394912459723,0.319,-0.24464806205990627,0.15964018174215577
Arm_Ret62_Isolado,5,SW2,50,-0.16501664335074068,-0.6109459111435002,0.32899999999999996,-0.22184959777020433,-1.050491246448356
Arm_Ret62_Isolado,6,SW2,50,-0.17361015666088095,-0.534214126294313,0.32400000000000007,-0.22025947846537944,-1.3542143399636026
Arm_Ret62_Isolado,7,SW2,51,-0.13534944297718376,1.4522703873733278,0.3254901960784314,-0.18700647924530545,0.23216544745989073
Arm_Ret62_Isolado,8,SW2,50,-0.14320830534916987,2.21104464996243,0.326,-0.19751545097843637,1.8338499230323018
Arm_Ret62_Isolado,9,SW2,50,-0.16657606905531766,0.870809664054907,0.32299999999999995,-0.16539274826989464,-0.09650450333945265
Baseline_C4puro,0,SW2,50,-0.20073468601972136,0.13548842808156678,0.0,-0.20073468601972136,0.13548842808156678
Baseline_C4puro,1,SW2,50,-0.2656260604897001,-0.1152910468128588,0.0,-0.2656260604897001,-0.1152910468128588
Baseline_C4puro,2,SW2,50,-0.27564632823968277,-0.04720920086249189,0.0,-0.27564632823968277,-0.04720920086249189
Baseline_C4puro,3,SW2,50,-0.2547018846051643,0.24127196868471568,0.0,-0.2547018846051643,0.24127196868471568
Baseline_C4puro,4,SW2,50,-0.24464806205990627,0.15964018174215577,0.0,-0.24464806205990627,0.15964018174215577
Baseline_C4puro,5,SW2,50,-0.22184959777020433,-1.050491246448356,0.0,-0.22184959777020433,-1.050491246448356
Baseline_C4puro,6,SW2,50,-0.22025947846537944,-1.3542143399636026,0.0,-0.22025947846537944,-1.3542143399636026
Baseline_C4puro,7,SW2,51,-0.18700647924530545,0.23216544745989073,0.0,-0.18700647924530545,0.23216544745989073
Baseline_C4puro,8,SW2,50,-0.19751545097843637,1.8338499230323018,0.0,-0.19751545097843637,1.8338499230323018
Baseline_C4puro,9,SW2,50,-0.16539274826989464,-0.09650450333945265,0.0,-0.16539274826989464,-0.09650450333945265
