arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,is_holdout,holding_days,top_n,n_veto,veto_rate,n_bandexp_blocked_pool,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,m3_rank_substitutos,m3_rank_max_substituto,vetados_com_r001_ativo,vetados_com_ret62_puro,overlap_com_par_tier,n_overlap_com_par_tier,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_BandExpRet62,6,2022-12-21,2022-12-20,2023-01-06,2023-01-05,TRAIN,0,10,20,0,0.0,76,TNGX;ROIV;FDMT;VKTX;IBEX;PBYI;IAG;HNRG;RYAM;MSC;MNKD;RIG;RMBS;WFRD;POWL;REPL;TIPT;EPAC;RDVT;HLX,TNGX;ROIV;FDMT;VKTX;IBEX;PBYI;IAG;HNRG;RYAM;MSC;MNKD;RIG;RMBS;WFRD;POWL;REPL;TIPT;EPAC;RDVT;HLX,,,,,,,,0,0.03356236969500774,0.03356236969500774,0.03356236969500774,0.0
Arm_BandExpRet62,6,2023-01-06,2023-01-05,2023-01-23,2023-01-20,SW1,1,10,20,2,0.1,82,RYAM;FDMT;MSC;IAG;VKTX;SMMT;TNGX;PBI;ROIV;MTRX;POWL;PCVX;HLX;ODC;MNKD;MOD;PBYI;TR;ENR;ELF,RYAM;MSC;IAG;VKTX;TNGX;PBI;ROIV;MTRX;POWL;PCVX;HLX;ODC;MNKD;MOD;PBYI;TR;ENR;ELF;VRE;GNW,FDMT;SMMT,GNW;VRE,43;41,43.0,,FDMT;SMMT,,0,-0.022094221609885206,-0.012044272368612184,-0.012094272368612184,5e-05
Arm_BandExpRet62,6,2023-01-23,2023-01-20,2023-02-06,2023-02-03,SW1,1,10,20,0,0.0,101,PRAX;FDMT;MSC;RIGL;IAG;MUX;ROIV;PPTA;MTRX;TGTX;LTH;VRDN;POWL;VKTX;POET;WFRD;PBYI;VSTM;FOR;RIG,PRAX;FDMT;MSC;RIGL;IAG;MUX;ROIV;PPTA;MTRX;TGTX;LTH;VRDN;POWL;VKTX;POET;WFRD;PBYI;VSTM;FOR;RIG,,,,,,,,0,0.033990308370983456,0.033990308370983456,0.033990308370983456,0.0
Arm_BandExpRet62,6,2023-02-06,2023-02-03,2023-02-21,2023-02-17,SW1,1,10,20,0,0.0,98,IMMX;MSC;TGTX;LTH;FDMT;GLSI;RIGL;MTRX;PRAX;IAG;HOV;VRDN;PATK;PEN;POWL;HIMS;PBYI;POET;SSTK;MUX,IMMX;MSC;TGTX;LTH;FDMT;GLSI;RIGL;MTRX;PRAX;IAG;HOV;VRDN;PATK;PEN;POWL;HIMS;PBYI;POET;SSTK;MUX,,,,,,,,0,-0.09344238177239975,-0.09344238177239975,-0.09344238177239975,0.0
Arm_BandExpRet62,6,2023-02-21,2023-02-17,2023-03-07,2023-03-06,SW1,1,10,20,0,0.0,61,MSC;VKTX;TGTX;LRMR;OCUL;STTK;MLTX;RIGL;POWL;HROW;LQDA;RIG;HIMS;IDCC;SPOT;STVN;RPD;KD;RBBN;ROIV,MSC;VKTX;TGTX;LRMR;OCUL;STTK;MLTX;RIGL;POWL;HROW;LQDA;RIG;HIMS;IDCC;SPOT;STVN;RPD;KD;RBBN;ROIV,,,,,,,,0,-0.0009014668811526724,-0.0009014668811526724,-0.0009014668811526724,0.0
Arm_BandExpRet62,6,2023-03-07,2023-03-06,2023-03-21,2023-03-20,SW1,1,10,20,0,0.0,65,MSC;MLTX;VKTX;MTW;SKYH;HRTG;RIG;PHVS;TGTX;LRMR;POWL;WFRD;UVE;SPOT;STVN;RBBN;RIGL;OCUL;RDW;GHM,MSC;MLTX;VKTX;MTW;SKYH;HRTG;RIG;PHVS;TGTX;LRMR;POWL;WFRD;UVE;SPOT;STVN;RBBN;RIGL;OCUL;RDW;GHM,,,,,,,,0,-0.11907794951002496,-0.11907794951002496,-0.11907794951002496,0.0
Arm_BandExpRet62,6,2023-03-21,2023-03-20,2023-04-04,2023-04-03,SW1,1,10,20,1,0.05,57,SKYH;VKTX;MLTX;UVE;RIOT;MTW;SPOT;PPTA;RELY;LAB;IMRX;IDCC;SOPH;NVTS;TGTX;NSIT;IESC;HY;OCUL;EOSE,VKTX;MLTX;UVE;RIOT;MTW;SPOT;PPTA;RELY;LAB;IMRX;IDCC;SOPH;NVTS;TGTX;NSIT;IESC;HY;OCUL;EOSE;LNTH,SKYH,LNTH,44,44.0,,SKYH,,0,0.07610029968207524,0.09161396852393619,0.09158896852393619,2.5e-05
Arm_BandExpRet62,6,2023-04-04,2023-04-03,2023-04-19,2023-04-18,SW1,1,10,20,1,0.05,66,RIOT;IMRX;HY;PPTA;NVTS;SKYH;MSTR;MLTX;SPOT;HIVE;UVE;PERI;MTW;SOPH;LNTH;PDFS;HUT;OCUL;EOSE;VKTX,IMRX;HY;PPTA;NVTS;SKYH;MSTR;MLTX;SPOT;HIVE;UVE;PERI;MTW;SOPH;LNTH;PDFS;HUT;OCUL;EOSE;VKTX;STM,RIOT,STM,43,43.0,,RIOT,,0,0.07672911863155078,0.05800856096371634,0.05798356096371634,2.5e-05
Arm_BandExpRet62,6,2023-04-19,2023-04-18,2023-05-03,2023-05-02,SW1,1,10,20,0,0.0,71,IMRX;RIOT;ELF;VERX;VKTX;MLTX;LNTH;MG;HROW;HY;EOSE;TGTX;TNK;SPNT;UVE;SPOT;SOUN;PLPC;RELY;PERI,IMRX;RIOT;ELF;VERX;VKTX;MLTX;LNTH;MG;HROW;HY;EOSE;TGTX;TNK;SPNT;UVE;SPOT;SOUN;PLPC;RELY;PERI,,,,,,,,0,-0.08332708894628266,-0.08332708894628266,-0.08332708894628266,0.0
Arm_BandExpRet62,6,2023-05-03,2023-05-02,2023-05-17,2023-05-16,SW1,1,10,20,0,0.0,69,VKTX;IMRX;PLSE;ELF;HROW;TGTX;HY;MG;MLTX;STVN;LFST;PLPC;MLP;LNTH;RDNT;VERX;FOR;HIMS;JBSS;TPH,VKTX;IMRX;PLSE;ELF;HROW;TGTX;HY;MG;MLTX;STVN;LFST;PLPC;MLP;LNTH;RDNT;VERX;FOR;HIMS;JBSS;TPH,,,,,,,,0,0.008213378551963555,0.008213378551963555,0.008213378551963555,0.0
