split,arm,delta_cvar5,delta_sharpe_cost_adj,mean_veto_rate_arm,mean_veto_rate_baseline,teto_veto_ok
TRAIN,Arm_BandExp_Isolado,0.0011943532123384892,0.18967256843693114,0.07793548387096774,0.0,True
TRAIN,Arm_Ret62_Isolado,-0.00012814786828696523,0.06378853897542047,0.022360215053763444,0.0,True
HOLDOUT,Arm_BandExp_Isolado,0.020989274440516237,0.7687151998947231,0.16238244514106587,0.0,True
HOLDOUT,Arm_Ret62_Isolado,0.04091688689224185,1.1999494475556607,0.2612147335423197,0.0,True
SW1,Arm_BandExp_Isolado,0.01580374502879439,0.41779884123988276,0.1345376955903272,0.0,True
SW1,Arm_Ret62_Isolado,0.014175310582162759,0.8505287387128774,0.17424964438122334,0.0,True
SW2,Arm_BandExp_Isolado,0.023142953101792013,0.9236782975285031,0.1832392156862745,0.0,True
SW2,Arm_Ret62_Isolado,0.051362691915901565,1.4248576082070463,0.3261490196078431,0.0,True
