track,top_n,max_weight_cap,split,days,equity_final,cagr,mdd,sharpe_cost_adj,cvar5,avg_tickers_rebalance,max_concentration_pct,cap_effectively_binding,cash_idle_mean_pct,cost_total_cum
COVARIADO,10,0.12,HOLDOUT,442,404234.5393288174,1.2010664341802113,-0.3160844349594817,1.4541275203720119,-0.06684070701144675,7.886363636363637,61.11912793495491,False,31.114600357799016,1838.981646775
COVARIADO,10,0.12,SW1,221,226479.4215735665,1.5024687771895953,-0.3160844349594817,1.378735500899073,-0.08054916793811208,8.090909090909092,61.11912793495491,False,32.034827966988125,627.309874275
COVARIADO,10,0.12,SW2,221,404234.5393288174,0.9149876847043326,-0.1332417925810928,1.7331164830208055,-0.05096650290401378,7.681818181818182,16.53773659075008,False,30.19437274860991,1838.981646775
COVARIADO,12,0.1,HOLDOUT,442,484112.8039591911,1.4393958325505904,-0.28082912151569384,1.7554024047376011,-0.061956330799690915,9.113636363636363,56.177036378322555,False,30.468954295385053,2088.8904893750005
COVARIADO,12,0.1,SW1,221,274092.1134845273,2.110716616414776,-0.28082912151569384,1.857929692105252,-0.07192653772018973,9.181818181818182,56.177036378322555,False,31.2895703815609,690.7683506250005
COVARIADO,12,0.1,SW2,221,484112.8039591911,0.8907031529546556,-0.15435527184492182,1.7211183069637455,-0.04890518295035173,9.045454545454545,13.94705572624924,False,29.6483382092092,2088.8904893750005
COVARIADO,15,0.08,HOLDOUT,442,406514.34281910607,1.2081353053999648,-0.22756572398650765,1.7320737218441502,-0.05541505270569478,11.431818181818182,50.651901948964806,False,30.181645664633155,1859.3481432750004
COVARIADO,15,0.08,SW1,221,247576.83380211587,1.7699747019433478,-0.22756572398650765,1.8644960309480276,-0.0647183245016198,11.5,50.651901948964806,False,30.73717266535883,638.9034232749993
COVARIADO,15,0.08,SW2,221,406514.34281910607,0.7707131109042542,-0.17815213708519628,1.6398767900262832,-0.04517368766686259,11.363636363636363,11.1185436181401,False,29.626118663907487,1859.3481432750004
COVARIADO,20,0.06,HOLDOUT,442,334779.98220605677,0.9767597656053699,-0.19297318530491148,1.6903673816369986,-0.04941896149670828,15.340909090909092,42.883037153853124,False,29.128683683815154,1623.055751523751
COVARIADO,20,0.06,SW1,221,226577.31364804055,1.5037021912169526,-0.19297318530491148,1.969309373277809,-0.0552272654606776,15.681818181818182,42.883037153853124,False,29.17206004405204,573.2336190237502
COVARIADO,20,0.06,SW2,221,334779.98220605677,0.5747207154071974,-0.17307549628105223,1.3598558640652263,-0.04264689002214923,15.0,11.352216022617617,False,29.08530732357828,1623.055751523751
COVARIADO,25,0.048,HOLDOUT,442,296911.96477929037,0.8460000137442314,-0.23822476389493563,1.640210992783379,-0.047236408716405436,18.613636363636363,37.83044209965926,False,28.83831824988311,1511.0383454547489
COVARIADO,25,0.048,SW1,221,205238.00636560156,1.2366506803777044,-0.23822476389493563,1.8296474301730363,-0.05485803743983981,18.818181818181817,37.83044209965926,False,28.471911394344485,547.69698545475
COVARIADO,25,0.048,SW2,221,296911.96477929037,0.5378223308032195,-0.14363549610928728,1.4420398297045551,-0.03921131122392745,18.40909090909091,9.00632253506562,False,29.204725105421737,1511.0383454547489
COVARIADO,30,0.04,HOLDOUT,442,304986.3200678384,0.8744562071542039,-0.2242728857011923,1.7154055398655925,-0.04780091854908004,22.704545454545453,33.58035131859004,False,27.992085184958253,1556.543707858499
COVARIADO,30,0.04,SW1,221,222244.57231154694,1.449182775305197,-0.2242728857011923,2.1147031853806877,-0.05403242910801418,23.045454545454547,33.58035131859004,False,28.020630445015566,545.9865516084999
COVARIADO,30,0.04,SW2,221,304986.3200678384,0.4429372391843438,-0.15779678133419828,1.2157316002766623,-0.040955329783942764,22.363636363636363,7.463576174847404,False,27.963539924900942,1556.543707858499
ISOLADO,10,0.06,HOLDOUT,442,355227.7199137183,1.044717843318808,-0.32597568954820666,1.3758065118885592,-0.06476150215851231,7.659090909090909,61.13343963553597,False,36.6943871440207,1979.2003861249998
ISOLADO,10,0.06,SW1,221,217157.38781873434,1.385360339184,-0.32597568954820666,1.3522468153245109,-0.07864674031614341,7.863636363636363,61.13343963553597,False,37.26128386340409,681.500809875
ISOLADO,10,0.06,SW2,221,355227.7199137183,0.7307925542503555,-0.13207216333009086,1.5784036801996983,-0.048941786813125616,7.454545454545454,16.234926525817052,False,36.12749042463733,1979.2003861249998
ISOLADO,12,0.06,HOLDOUT,442,371327.7873915944,1.097050277612793,-0.29425587990150404,1.5405340734048243,-0.05914713958546038,9.022727272727273,56.12216572366555,False,34.769114890537374,1881.4568241250001
