date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,rebalance_cadence,is_rebalance_day,equity_base100,track,top_n,max_weight_cap,split,is_holdout,cash_ratio,log_ret_equity
2021-04-05,C4,100019.04940409986,100019.04940409986,0.0,0,0.0,0.0,2.7777777777777783e-06,0,0,0,0,0,0,10,0,100.0186921944849,COVARIADO,10,0.12,SW1,1,1.0,
2021-04-06,C4,100019.32723479265,100019.32723479265,0.0,0,0.0,0.0,2.7777777777777783e-06,0,0,0,0,0,0,10,0,100.01897002418542,COVARIADO,10,0.12,SW1,1,1.0,2.7777739197784286e-06
2021-04-07,C4,100019.6050662572,100019.6050662572,0.0,0,0.0,0.0,2.7777777777777783e-06,0,0,0,0,0,0,10,0,100.01924785465772,COVARIADO,10,0.12,SW1,1,1.0,2.7777739197784286e-06
2021-04-08,C4,100019.8828984935,100019.8828984935,0.0,0,0.0,0.0,2.7777777777777783e-06,0,0,0,0,0,0,10,0,100.01952568590178,COVARIADO,10,0.12,SW1,1,1.0,2.7777739197784286e-06
2021-04-09,C4,100020.16073150154,100020.16073150154,0.0,0,0.0,0.0,2.7777777777777783e-06,0,0,0,0,0,0,10,0,100.01980351791757,COVARIADO,10,0.12,SW1,1,1.0,2.7777739197784286e-06
2021-04-12,C4,100020.43856528135,100020.43856528135,0.0,0,0.0,0.0,2.7777777777777783e-06,0,0,0,0,0,0,10,0,100.0200813507051,COVARIADO,10,0.12,SW1,1,1.0,2.7777739197784286e-06
2021-04-13,C4,100020.71639983292,100020.71639983292,0.0,0,0.0,0.0,2.7777777777777783e-06,0,0,0,0,0,0,10,0,100.02035918426442,COVARIADO,10,0.12,SW1,1,1.0,2.7777739197784286e-06
2021-04-14,C4,100020.99423515625,100020.99423515625,0.0,0,0.0,0.0,2.7777777777777783e-06,0,0,0,0,0,0,10,0,100.02063701859547,COVARIADO,10,0.12,SW1,1,1.0,2.7777739197784286e-06
2021-04-15,C4,99996.03305333025,149.64305333024205,0.0,10,0.10002076777051612,24.961597500000003,2.7777777777777783e-06,0,0,0,0,0,0,10,1,99.99567592591625,COVARIADO,10,0.12,SW1,1,0.0014964898982586026,-0.0002495905703026279
2021-04-16,C4,98598.57346900538,149.6434690053902,0.0,10,0.1058159325528145,24.961597500000003,2.7777777777777783e-06,1,0,0,0,0,0,10,0,98.59822133250063,COVARIADO,10,0.12,SW1,1,0.001517704199365834,-0.014073722090596473
2021-04-19,C4,99215.39388468169,149.64388468169298,0.0,10,0.1045815532623916,24.961597500000003,2.7777777777777783e-06,1,0,0,0,0,0,10,0,99.21503954525475,COVARIADO,10,0.12,SW1,1,0.0015082728478165845,0.00623638889679819
2021-04-20,C4,95467.39430035914,149.64430035915044,0.0,10,0.12129722493071582,24.961597500000003,2.7777777777777783e-06,1,0,0,0,0,0,10,0,95.4670533465972,COVARIADO,10,0.12,SW1,1,0.0015674911990196372,-0.03850841429010301
2021-04-21,C4,100571.02717853776,149.64471603776255,4708.972462500001,10,0.14605856589217323,26.139135000000003,2.7777777777777783e-06,1,0,1,0,1,1,10,0,100.57066799758063,COVARIADO,10,0.12,SW1,1,0.0014879505582866047,0.05207944772163207
2021-04-22,C4,98188.19067469658,4858.630674696593,0.0,10,0.13003478231206803,26.139135000000003,2.7777777777777783e-06,1,0,1,0,0,1,10,0,98.18784000383944,COVARIADO,10,0.12,SW1,1,0.049482841483387045,-0.02397826573855769
2021-04-23,C4,103684.86207089292,4858.6441708929115,7686.477900000001,10,0.09975226656450842,28.061235000000003,2.7777777777777783e-06,0,0,2,0,1,2,10,0,103.68449176913661,COVARIADO,10,0.12,SW1,1,0.046859725458967084,0.05447017624460676
2021-04-26,C4,105710.46691845423,12545.15691845422,0.0,10,0.10635323376891956,28.061235000000003,2.7777777777777783e-06,0,0,2,0,1,2,10,0,105.71008938242072,COVARIADO,10,0.12,SW1,1,0.11867469025684693,0.019347786267752437
2021-04-27,C4,104650.91176611233,12545.191766112328,0.0,10,0.10314434741021837,28.061235000000003,2.7777777777777783e-06,1,0,2,0,1,2,10,0,104.65053801419086,COVARIADO,10,0.12,SW1,1,0.11987656442162661,-0.010073751363471311
2021-04-28,C4,104681.08661386723,12545.226613867235,0.0,10,0.10313993051892657,28.061235000000003,2.7777777777777783e-06,1,0,2,0,1,2,10,0,104.68071275417883,COVARIADO,10,0.12,SW1,1,0.11984234229572234,0.0002882965642846334
2021-04-29,C4,104170.84560713256,1.3714371325524242,70965.57417,6,0.10025626593631987,48.94224500000001,2.3809523809523808e-06,1,0,2,0,1,2,10,1,104.17047356972698,COVARIADO,10,0.12,SW1,1,1.3165268310527394e-05,-0.004886160414764928
2021-04-30,C4,104187.34262206432,70967.08641456431,5173.8762075,5,0.10424010946700174,50.23603750000001,1.984126984126984e-06,1,0,2,1,1,3,10,0,104.18697052574102,COVARIADO,10,0.12,SW1,1,0.6811488289128821,0.00015835245167407271
2021-05-03,C4,105283.82391007055,76141.14391007056,0.0,5,0.10588141260448382,50.23603750000001,2.3809523809523808e-06,1,0,2,1,1,3,10,0,105.28344789775666,COVARIADO,10,0.12,SW1,1,0.7231988835731065,0.010469138267865628
2021-05-04,C4,105850.22519850844,76141.32519850845,0.0,5,0.10865730307545976,50.23603750000001,2.3809523809523808e-06,0,0,2,1,1,3,10,0,105.84984716334003,COVARIADO,10,0.12,SW1,1,0.7193307813537025,0.005365336851829857
2021-05-05,C4,105800.70648737797,76141.50648737798,0.0,5,0.11493023443516091,50.23603750000001,2.3809523809523808e-06,0,0,2,1,1,3,10,0,105.80032862906145,COVARIADO,10,0.12,SW1,1,0.7196691687163891,-0.000467928127124859
2021-05-06,C4,104607.24777667914,76141.68777667914,0.0,5,0.10917216772952887,50.23603750000001,2.3809523809523808e-06,1,0,2,1,1,3,10,0,104.60687418069993,COVARIADO,10,0.12,SW1,1,0.7278815703021867,-0.011344357337989603
2021-05-07,C4,105347.88906641194,76141.86906641195,0.0,5,0.10895519693578362,50.23603750000001,2.3809523809523808e-06,1,0,2,1,0,3,10,0,105.34751282529471,COVARIADO,10,0.12,SW1,1,0.7227659684610449,0.007055263072789988
2021-05-10,C4,106900.45035657639,76142.0503565764,0.0,5,0.1052675640043056,50.23603750000001,2.3809523809523808e-06,1,0,2,1,0,3,10,0,106.90006857061722,COVARIADO,10,0.12,SW1,1,0.712270622832715,0.014629928188194658
2021-05-11,C4,105421.48164717249,76142.23164717249,0.0,5,0.10186794790023738,50.23603750000001,2.3809523809523808e-06,0,0,2,1,0,3,10,0,105.42110514322556,COVARIADO,10,0.12,SW1,1,0.7222648596612159,-0.013931604864439904
2021-05-12,C4,104291.29293820023,76142.41293820023,0.0,5,0.10149457065675023,50.23603750000001,2.3809523809523808e-06,0,0,2,1,0,3,10,0,104.29092047062713,COVARIADO,10,0.12,SW1,1,0.7300936712264162,-0.010778548450598335
2021-05-13,C4,104326.83907861382,6.4737261138280005,11535.705352500003,9,0.09999191092274208,72.1499125,2.3809523809523808e-06,1,0,2,1,0,3,10,1,104.32646648409067,COVARIADO,10,0.12,SW1,1,6.20523555683483e-05,0.0003407770975029341
2021-05-14,C4,106257.9265599926,11542.206559992592,0.0,9,0.10766632071952596,72.1499125,2.3809523809523808e-06,1,0,2,1,0,3,10,0,106.25754706875308,COVARIADO,10,0.12,SW1,1,0.10862442863004607,0.018340753257619604
2021-05-17,C4,107826.04404143679,11542.234041436783,0.0,9,0.11257910932293021,72.1499125,2.3809523809523808e-06,1,0,2,1,0,3,10,0,107.8256589497977,COVARIADO,10,0.12,SW1,1,0.10704495508525921,0.014649817287550583
2021-05-18,C4,107750.08152294639,11542.261522946406,0.0,9,0.11455397365403756,72.1499125,2.3809523809523808e-06,1,0,2,1,0,3,10,0,107.74969670260104,COVARIADO,10,0.12,SW1,1,0.1071206755466665,-0.0007047396499540285
2021-05-19,C4,106960.25900452147,11542.289004521463,0.0,9,0.12577755631118376,72.1499125,2.3809523809523808e-06,1,0,2,1,0,3,10,0,106.95987700496075,COVARIADO,10,0.12,SW1,1,0.10791193955535898,-0.007357131278043887
2021-05-20,C4,107266.44648616193,11542.31648616195,0.0,9,0.12072740753718017,72.1499125,2.3809523809523808e-06,1,0,2,1,0,3,10,0,107.2660633930784,COVARIADO,10,0.12,SW1,1,0.1076041657411573,0.00285853894297174
2021-05-21,C4,107527.87396786785,11542.34396786787,0.0,9,0.11988333372844429,72.1499125,2.3809523809523808e-06,1,0,2,1,0,3,10,0,107.52748994111808,COVARIADO,10,0.12,SW1,1,0.10734280835234429,0.0024342134395520234
2021-05-24,C4,108057.4814496392,11542.371449639222,0.0,9,0.11973405104791288,72.1499125,2.3809523809523808e-06,1,0,2,1,0,3,10,0,108.0570955314409,COVARIADO,10,0.12,SW1,1,0.10681695792640336,0.004913214500351485
2021-05-25,C4,105633.21893147602,11542.398931476007,0.0,9,0.12586779172776097,72.1499125,2.3809523809523808e-06,1,0,2,1,0,3,10,0,105.6328416713272,COVARIADO,10,0.12,SW1,1,0.10926864719481406,-0.022690426162756346
2021-05-26,C4,107100.42641337824,11542.426413378225,0.0,9,0.12047963236109202,72.1499125,2.3809523809523808e-06,1,0,2,1,0,3,10,0,107.10004391322143,COVARIADO,10,0.12,SW1,1,0.10777199307150868,0.013794063877438124
2021-05-27,C4,110417.21016862127,2.2020836212708876,50115.128085,8,0.12019910645932709,87.56616249999999,2.3809523809523808e-06,1,0,2,1,0,3,10,1,110.41681582285048,COVARIADO,10,0.12,SW1,1,1.994330066760447e-05,0.030499052005506438
2021-05-28,C4,111079.51960776842,50117.42960776842,0.0,8,0.1232270363459757,87.56616249999999,1.984126984126984e-06,0,0,2,1,0,3,10,0,111.07912289661523,COVARIADO,10,0.12,SW1,1,0.4511851490242079,0.0059803267861744695
2021-06-01,C4,112265.59893498177,50117.54893498177,0.0,8,0.12988021387072082,87.56616249999999,2.3809523809523808e-06,0,0,2,1,0,3,10,0,112.26519798784611,COVARIADO,10,0.12,SW1,1,0.44641946785503883,0.010621145292447
2021-06-02,C4,109297.76826247924,50117.66826247924,0.0,8,0.11916300037089675,87.56616249999999,2.3809523809523808e-06,1,0,2,1,0,3,10,0,109.29737791470097,COVARIADO,10,0.12,SW1,1,0.4585424666871638,-0.02679150646521039
2021-06-03,C4,107613.33167776081,50117.78759026082,12820.4440875,7,0.11211900804380946,90.77207499999999,2.3809523809523808e-06,1,0,2,2,1,4,10,0,107.61294734580602,COVARIADO,10,0.12,SW1,1,0.46572099208241574,-0.015531436111865502
2021-06-04,C4,107087.80298069339,62938.38153069339,8392.10145,6,0.11336164961931874,92.87062499999999,2.3809523809523808e-06,1,0,2,3,2,5,10,0,107.0874205256201,COVARIADO,10,0.12,SW1,1,0.5877268911945126,-0.004895453835845988
2021-06-07,C4,108014.47281517668,71330.65281517668,0.0,6,0.11640014224309979,92.87062499999999,2.3809523809523808e-06,1,0,2,3,1,5,10,0,108.01408705058009,COVARIADO,10,0.12,SW1,1,0.6603805115748739,0.008616139126182185
2021-06-08,C4,108159.97265006434,71330.82265006435,0.0,6,0.11828913863905631,92.87062499999999,2.3809523809523808e-06,1,0,2,3,1,5,10,0,108.15958636582734,COVARIADO,10,0.12,SW1,1,0.6594937193710719,0.00134613373515001
2021-06-09,C4,108243.46248535637,71330.99248535639,0.0,6,0.1193425422967009,92.87062499999999,2.3809523809523808e-06,1,0,2,3,0,5,10,0,108.24307590294244,COVARIADO,10,0.12,SW1,1,0.6589866108080785,0.0007716128848154793
2021-06-10,C4,108544.17232105279,71331.16232105279,0.0,6,0.12194712730268498,92.87062499999999,2.3809523809523808e-06,1,0,2,3,0,5,10,0,108.543784664679,COVARIADO,10,0.12,SW1,1,0.657162524673079,0.002774235982876186
2021-06-11,C4,108998.40284485144,5.795449851444962,12327.337395,10,0.12040800284643738,113.780115,2.3809523809523808e-06,1,1,2,3,0,5,10,1,108.99801356623158,COVARIADO,10,0.12,SW1,1,5.3170043782148054e-05,0.004176021025477956
2021-06-14,C4,107484.79689945345,12333.162209453458,2700.5646899999997,10,0.11777460966728003,114.45542499999999,2.3809523809523808e-06,1,1,3,3,1,6,10,0,107.48441302654979,COVARIADO,10,0.12,SW1,1,0.114743317801405,-0.013983815947019525
2021-06-15,C4,106270.68028904131,15033.762694041314,9527.237594999999,9,0.1123800089311326,116.83783,2.3809523809523808e-06,1,1,4,4,3,8,10,0,106.27030075225292,COVARIADO,10,0.12,SW1,1,0.14146670232233005,-0.011359986495730985
2021-06-16,C4,107063.54876761344,24561.05876761343,0.0,9,0.1188438095548066,116.83783,2.3809523809523808e-06,1,1,4,4,2,8,10,0,107.06316639916203,COVARIADO,10,0.12,SW1,1,0.2294063577224064,0.007433145001456691
2021-06-17,C4,105189.97623213235,24561.15623213235,0.0,9,0.11487501407295496,116.83783,3.968253968253968e-06,1,1,4,4,0,8,10,0,105.18960055498752,COVARIADO,10,0.12,SW1,1,0.23349331478059276,-0.01765455908159051
2021-06-18,C4,104344.39369703803,24561.253697038035,0.0,9,0.11442761395180671,116.83783,3.968253968253968e-06,1,1,4,4,0,8,10,0,104.34402103982003,COVARIADO,10,0.12,SW1,1,0.2353864240023395,-0.008071106670220459
2021-06-21,C4,106337.45573983048,24561.351162330484,10818.9845775,8,0.11541220273340692,119.5432525,3.968253968253968e-06,1,1,4,5,1,9,10,0,106.33707596455919,COVARIADO,10,0.12,SW1,1,0.23097553906521218,0.0189206759492295
2021-06-22,C4,104954.31613798818,35380.47613798818,0.0,8,0.11814225899674068,119.5432525,3.968253968253968e-06,1,1,4,5,1,9,10,0,104.95394130248354,COVARIADO,10,0.12,SW1,1,0.33710358411055596,-0.013092410997656385
2021-06-23,C4,107456.59710670302,35380.61653670302,10315.140569999998,7,0.11691324998431694,122.1226825,3.968253968253968e-06,0,1,4,6,2,10,10,0,107.45621333451257,COVARIADO,10,0.12,SW1,1,0.3292549502714154,0.023561847114257406
