track,top_n,max_weight_cap,split,days,equity_final,cagr,mdd,sharpe_cost_adj,cvar5,avg_tickers_rebalance,max_concentration_pct,max_concentration_rebalance_day_pct,cap_binding_pct,cash_idle_mean_pct,cost_total_cum
COVARIADO,10,0.12,HOLDOUT,1326,124833.94190808368,0.04301810708258591,-0.5330845605997547,0.12503185221495913,-0.049851904474686286,7.901515151515151,25.51491248720168,12.53831639176115,96.21212121212122,31.158612091125683,2166.284431699998
COVARIADO,10,0.12,SW1,663,58191.99632898829,-0.1860545196605975,-0.5330845605997547,-0.7951898283941022,-0.038969870856104774,7.954545454545454,15.88057612811879,12.06144339082124,100.0,30.972357136348695,1017.8977412499996
COVARIADO,10,0.12,SW2,663,124833.94190808368,0.3326048557853858,-0.30635962078717316,0.7263526040537187,-0.058055442856565505,7.848484848484849,25.51491248720168,12.53831639176115,92.42424242424242,31.344867045902664,2166.284431699998
COVARIADO,12,0.1,HOLDOUT,1326,163258.3962596219,0.09759030248550471,-0.5142513628963569,0.30462261156776527,-0.04386182056371501,9.340909090909092,21.7601019051722,10.92137654429272,94.6969696969697,30.450034756359916,2410.3912029000026
COVARIADO,12,0.1,SW1,663,63200.89371467737,-0.16010432039082,-0.5142513628963569,-0.7134902789066075,-0.03725111752669082,9.378787878787879,13.34879629010271,10.06641386950725,100.0,30.46683034182869,1033.1687272499992
COVARIADO,12,0.1,SW2,663,163258.3962596219,0.42917575641683614,-0.24820961221046234,1.0139281190754057,-0.04875388664024925,9.303030303030303,21.7601019051722,10.92137654429272,89.39393939393939,30.433239170891152,2410.3912029000026
COVARIADO,15,0.08,HOLDOUT,1326,166828.12759835942,0.10211141034058469,-0.42103733854192626,0.3428544238253123,-0.04068223694013375,11.598484848484848,17.87970191494642,8.36728282094238,94.6969696969697,29.411046359850378,2473.118591399999
COVARIADO,15,0.08,SW1,663,67370.96901356048,-0.13945676109770888,-0.42103733854192626,-0.6455825404055725,-0.03519681346565471,11.681818181818182,10.536629811179141,8.09061839344914,98.48484848484848,29.53335825378068,1040.6095562750004
COVARIADO,15,0.08,SW2,663,166828.12759835942,0.4062838259940824,-0.24280936701768252,1.0572336089159005,-0.04459572072308279,11.515151515151516,17.87970191494642,8.36728282094238,90.9090909090909,29.288734465920076,2473.118591399999
COVARIADO,20,0.06,HOLDOUT,1326,184284.81227157376,0.12315399322466902,-0.38573772026494335,0.42776820467274196,-0.038690286344482454,15.378787878787879,13.909475854246539,6.34204160434734,93.93939393939394,28.457611488270473,2522.3588366500007
COVARIADO,20,0.06,SW1,663,69500.1060494768,-0.12921941878654308,-0.38573772026494335,-0.6447102024495367,-0.0321906616866498,15.409090909090908,8.88265211247996,6.06746336806325,98.48484848484848,29.4358139602489,1026.0773835249993
COVARIADO,20,0.06,SW2,663,184284.81227157376,0.44220584710567534,-0.2680813666518793,1.1668702447775292,-0.04384223469473573,15.348484848484848,13.909475854246539,6.34204160434734,89.39393939393939,27.47940901629205,2522.3588366500007
COVARIADO,25,0.048,HOLDOUT,1326,174766.69920557266,0.11189147349569661,-0.43436965309614883,0.4167095785264682,-0.03629502812012305,19.022727272727273,11.10028636249751,5.60222718419313,84.84848484848484,27.952925206978108,2312.8858403000027
COVARIADO,25,0.048,SW1,663,66560.73649638634,-0.14340517824375976,-0.43436965309614883,-0.7524874073851157,-0.031010648903083308,18.848484848484848,7.168497331400089,4.89788934696795,87.87878787878788,28.695071786455483,972.5898064250002
COVARIADO,25,0.048,SW2,663,174766.69920557266,0.43769362419750446,-0.24123949087774266,1.2457923426080735,-0.039917416187850954,19.196969696969695,11.10028636249751,5.60222718419313,81.81818181818183,27.210778627500737,2312.8858403000027
COVARIADO,30,0.04,HOLDOUT,1326,150382.98562673051,0.08058777650200866,-0.43767077376579167,0.323484036766907,-0.03441825721585993,22.772727272727273,9.4191517092309,4.21549638578823,74.24242424242425,27.937899240637698,2160.492398450002
COVARIADO,30,0.04,SW1,663,62778.27507006549,-0.1622434655435847,-0.43767077376579167,-0.9081698274535455,-0.029074818053414952,22.803030303030305,6.04268516286484,4.14121470158881,78.78787878787878,28.58601373880749,962.3427397250008
COVARIADO,30,0.04,SW2,663,150382.98562673051,0.3884186830671319,-0.2703938899390784,1.2018265554347338,-0.03804835981566886,22.742424242424242,9.4191517092309,4.21549638578823,69.6969696969697,27.28978474246791,2160.492398450002
ISOLADO,10,0.06,HOLDOUT,1326,131139.76169627844,0.05283215496307059,-0.5083434597734898,0.16689484200336874,-0.04539522967264369,7.742424242424242,21.547514328729058,10.002076777051611,0.0,37.02461724273818,2624.8553698
ISOLADO,10,0.06,SW1,663,62109.10104108732,-0.16564892197618264,-0.5083434597734898,-0.7665030073843508,-0.03564091717670431,7.712121212121212,14.60585658921732,10.002076777051611,0.0,37.0549256516632,1194.4203874999987
ISOLADO,10,0.06,SW2,663,131139.76169627844,0.32437564819973064,-0.2664082305576453,0.7756481621637418,-0.052744126968438575,7.7727272727272725,21.547514328729058,10.00161124301858,0.0,36.99430883381316,2624.8553698
ISOLADO,12,0.06,HOLDOUT,1326,158068.85146930674,0.0908726994593474,-0.4872155712406758,0.30377831964953106,-0.04092161703928654,9.227272727272727,18.43417918661377,8.33524920687462,0.0,34.95719686721704,2724.0539213999964
ISOLADO,12,0.06,SW1,663,66312.7612966368,-0.14461955881385347,-0.4872155712406758,-0.6933777880501124,-0.034130816885082474,9.181818181818182,12.22051532952857,8.33524920687462,0.0,34.96937545099234,1168.2038474999993
ISOLADO,12,0.06,SW2,663,158068.85146930674,0.38507175482288525,-0.24822535421231395,0.9831282644191524,-0.0462470217798289,9.272727272727273,18.43417918661377,8.33466051162279,0.0,34.94501828344174,2724.0539213999964
ISOLADO,15,0.06,HOLDOUT,1326,154816.18562220657,0.08657066761754639,-0.4203780667572501,0.30704092106750486,-0.03874899166476998,11.727272727272727,15.10465761361589,7.009016953139,0.0,31.773004059466935,2555.3844423250034
ISOLADO,15,0.06,SW1,663,67584.62121474388,-0.13842050305121445,-0.4203780667572501,-0.6710818536629863,-0.03362974800038354,11.772727272727273,9.89909799107087,6.66800239772814,0.0,31.813894262994268,1104.154857474996
ISOLADO,15,0.06,SW2,663,154816.18562220657,0.3653684618583741,-0.24567592146267114,1.0138313187098082,-0.04273732747540923,11.681818181818182,15.10465761361589,7.009016953139,0.0,31.73211385593961,2555.3844423250034
ISOLADO,20,0.06,HOLDOUT,1326,184284.81227157376,0.12315399322466902,-0.38573772026494335,0.42776820467274196,-0.038690286344482454,15.378787878787879,13.909475854246539,6.34204160434734,93.93939393939394,28.457611488270473,2522.3588366500007
ISOLADO,20,0.06,SW1,663,69500.1060494768,-0.12921941878654308,-0.38573772026494335,-0.6447102024495367,-0.0321906616866498,15.409090909090908,8.88265211247996,6.06746336806325,98.48484848484848,29.4358139602489,1026.0773835249993
ISOLADO,20,0.06,SW2,663,184284.81227157376,0.44220584710567534,-0.2680813666518793,1.1668702447775292,-0.04384223469473573,15.348484848484848,13.909475854246539,6.34204160434734,89.39393939393939,27.47940901629205,2522.3588366500007
ISOLADO,25,0.06,HOLDOUT,1326,167790.32175401138,0.10331662357930704,-0.4434695684944834,0.37978482243675615,-0.037290957883437184,19.0,11.09216389918725,6.36125517307667,93.18181818181817,27.482405443172848,2235.588495200001
ISOLADO,25,0.06,SW1,663,65473.0419003737,-0.14875285340426758,-0.4434695684944834,-0.7750210108828267,-0.031325807731148084,18.954545454545453,8.121483199745331,6.0523384431961,100.0,28.327809675987325,959.2298296750004
ISOLADO,25,0.06,SW2,663,167790.32175401138,0.4243244555250494,-0.2526674339421936,1.189919850465329,-0.0414157911193459,19.045454545454547,11.09216389918725,6.36125517307667,86.36363636363636,26.63700121035838,2235.588495200001
ISOLADO,30,0.06,HOLDOUT,1326,155705.71750426694,0.08775439559673792,-0.4393422005510985,0.34277597362932877,-0.03500977557165073,22.40909090909091,12.75364058894529,6.39500637496318,95.45454545454545,27.23744794830429,2142.563779500003
ISOLADO,30,0.06,SW1,663,62410.65434178803,-0.16411150264960073,-0.4393422005510985,-0.9087199835038755,-0.029067899728662777,22.62121212121212,6.96873101183728,6.01032486492398,100.0,28.06511109014756,949.2400711750024
ISOLADO,30,0.06,SW2,663,155705.71750426694,0.4101421820183493,-0.27293700072312255,1.220925159903005,-0.039114056370956024,22.196969696969695,12.75364058894529,6.39500637496318,90.9090909090909,26.409784806461012,2142.563779500003
