arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,holding_days,top_n,n_bloqueados,gate_activation_rate,tickers_baseline,tickers_arm,tickers_bloqueados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm,churn_evitado,churn_evitado_rate,n_reentrants_baseline,arm_catches_reentry,recidiva_avoidance_rate
Baseline,2,2023-04-04,2023-04-03,2023-04-19,2023-04-18,HOLDOUT,10,20,0,0.0,SPAQ;UNCY;SNYR;PESI;SLQT;RIOT;TPCS;RRGB;GNS;VRCA;SONM;IMRX;EBON;SKYH;HEPA;SJ;HIVE;NVTS;HY;SOBR,SPAQ;UNCY;SNYR;PESI;SLQT;RIOT;TPCS;RRGB;GNS;VRCA;SONM;IMRX;EBON;SKYH;HEPA;SJ;HIVE;NVTS;HY;SOBR,,,-0.004829254470466743,-0.004829254470466743,-0.004829254470466743,0.0,0,0.0,1,0,0.0
Baseline,2,2023-04-19,2023-04-18,2023-05-03,2023-05-02,HOLDOUT,10,20,1,0.05,SPAQ;SNYR;IMRX;UNCY;TPCS;SLQT;SONM;RIOT;GFAI;VKTX;PESI;SOUN;TLSA;EOSE;NVCT;MLTX;VERX;ELF;NXPL;GEOS,SPAQ;SNYR;IMRX;UNCY;TPCS;SLQT;SONM;RIOT;GFAI;VKTX;SOUN;TLSA;EOSE;NVCT;MLTX;VERX;ELF;NXPL;GEOS;PPSI,PESI,PPSI,-0.2077634871309443,-0.20908568389215515,-0.20911068389215515,2.5e-05,0,0.0,1,0,0.0
Baseline,2,2023-05-03,2023-05-02,2023-05-17,2023-05-16,HOLDOUT,10,20,4,0.2,TOP;GNLX;SNYR;VKTX;IMRX;PLSE;TPCS;SONM;TGTX;PPSI;PESI;RMTI;HROW;PLX;UNCY;IFRX;HY;MLTX;ELF;SOWG,GNLX;SNYR;VKTX;IMRX;PLSE;TPCS;PPSI;PESI;RMTI;HROW;UNCY;IFRX;HY;MLTX;ELF;SOWG;SPOK;MG;GEOS;RIOT,PLX;SONM;TGTX;TOP,GEOS;MG;RIOT;SPOK,-0.07424756631056074,0.03766363038059202,0.03756363038059202,0.0001,1,0.25,2,0,0.0
Baseline,2,2023-05-17,2023-05-16,2023-06-01,2023-05-31,HOLDOUT,10,20,1,0.05,GNLX;PIII;SOWG;PLSE;TPCS;HRTG;SONM;LODE;VKTX;TNYA;SLNO;IMRX;IDXG;UNCY;IFRX;RXST;PPSI;VYNE;PESI;NXPL,GNLX;PIII;SOWG;PLSE;TPCS;HRTG;SONM;LODE;VKTX;TNYA;SLNO;IMRX;UNCY;IFRX;RXST;PPSI;VYNE;PESI;NXPL;RVPH,IDXG,RVPH,-0.03405348017038041,-0.04018300612925069,-0.040208006129250684,2.5e-05,0,0.0,2,0,0.0
Baseline,2,2023-06-01,2023-05-31,2023-06-15,2023-06-14,HOLDOUT,10,20,3,0.15,PIII;TPCS;ELTK;SLNO;SONM;TNYA;PLSE;UNCY;KOPN;LODE;RXST;MVIS;RMTI;PPSI;VYNE;IFRX;VTSI;LFST;RIOT;VKTX,PIII;TPCS;SLNO;SONM;TNYA;PLSE;UNCY;LODE;RXST;MVIS;PPSI;VYNE;IFRX;VTSI;LFST;RIOT;VKTX;FCNCA;LMB;ENVB,ELTK;KOPN;RMTI,ENVB;FCNCA;LMB,0.05407625804412902,0.04426951170370918,0.04419451170370918,7.500000000000001e-05,0,0.0,2,1,0.5
Baseline,2,2023-06-15,2023-06-14,2023-06-30,2023-06-29,HOLDOUT,10,20,0,0.0,PIII;RMTI;TPCS;TNYA;PPSI;SLNO;EFTR;LFMD;FCNCA;LODE;ELTK;NA;SONM;SKYW;UPST;RGTI;JOBY;KOPN;IFRX;VTSI,PIII;RMTI;TPCS;TNYA;PPSI;SLNO;EFTR;LFMD;FCNCA;LODE;ELTK;NA;SONM;SKYW;UPST;RGTI;JOBY;KOPN;IFRX;VTSI,,,-0.04228275502547656,-0.04228275502547656,-0.04228275502547656,0.0,0,0.0,6,0,0.0
Baseline,2,2023-06-30,2023-06-29,2023-07-17,2023-07-14,HOLDOUT,10,20,3,0.15,PPCB;MRKR;LFMD;PPSI;PIII;RMTI;LFCR;PLSE;JOBY;WEAV;UPST;VERA;NSPR;ELTK;ROOT;MLTX;PHVS;LODE;SOUN;KPLT,PPCB;MRKR;LFMD;PPSI;PIII;RMTI;LFCR;PLSE;WEAV;UPST;VERA;NSPR;ELTK;ROOT;LODE;SOUN;KPLT;TNYA;SKYW;KOPN,JOBY;MLTX;PHVS,KOPN;SKYW;TNYA,0.011309638758644639,0.004836178690696151,0.004761178690696151,7.500000000000001e-05,0,0.0,1,0,0.0
Baseline,2,2023-07-17,2023-07-14,2023-07-31,2023-07-28,HOLDOUT,10,20,5,0.25,PPCB;MRKR;RGTI;UPST;KSCP;NSPR;VERA;LTCH;FNGR;MLTX;LFMD;VBIX;LFCR;WEAV;HLLY;JOBY;ELTK;VRT;TMC;RVYL,PPCB;MRKR;RGTI;UPST;VERA;FNGR;MLTX;VBIX;LFCR;WEAV;HLLY;JOBY;ELTK;VRT;RVYL;IZM;ROOT;REKR;W;RXST,KSCP;LFMD;LTCH;NSPR;TMC,IZM;REKR;ROOT;RXST;W,-0.017134843518303043,0.042776924033151066,0.042651924033151066,0.000125,0,0.0,4,1,0.25
Baseline,2,2023-07-31,2023-07-28,2023-08-14,2023-08-11,HOLDOUT,10,20,1,0.05,PPCB;MRKR;UPST;RGTI;NSPR;PGY;WEAV;LFMD;MLTX;FNGR;VERA;HLLY;VRM;LFCR;RXRX;IZM;MVST;REAL;RIVN;W,PPCB;UPST;RGTI;NSPR;PGY;WEAV;LFMD;MLTX;FNGR;VERA;HLLY;VRM;LFCR;RXRX;IZM;MVST;REAL;RIVN;W;RVYL,MRKR,RVYL,-0.09574917227157849,-0.09948889439849969,-0.09951389439849968,2.5e-05,0,0.0,6,0,0.0
Baseline,2,2023-08-14,2023-08-11,2023-08-28,2023-08-25,HOLDOUT,10,20,1,0.05,PPCB;SN;WETH;IZM;RGTI;MRKR;PGY;FNGR;HLLY;VERA;MOD;LFCR;VRT;LFMD;PHVS;REAL;W;TISI;KSCP;ILPT,PPCB;SN;WETH;RGTI;MRKR;PGY;FNGR;HLLY;VERA;MOD;LFCR;VRT;LFMD;PHVS;REAL;W;TISI;KSCP;ILPT;REKR,IZM,REKR,-0.15065658845381968,-0.13235141046370985,-0.13237641046370985,2.5e-05,0,0.0,1,0,0.0
Baseline,2,2023-08-28,2023-08-25,2023-09-12,2023-09-11,HOLDOUT,10,20,1,0.05,PPCB;KLDO;SN;MRKR;HHH;HOLO;VBIX;HKIT;FNGR;IZM;TOMZ;REKR;SMTK;VERA;LNZA;PHVS;ILPT;KSCP;ULBI;ROOT,PPCB;KLDO;SN;MRKR;HHH;HOLO;VBIX;HKIT;FNGR;IZM;TOMZ;REKR;SMTK;VERA;LNZA;PHVS;ILPT;KSCP;ROOT;VRT,ULBI,VRT,-0.10151420979716255,-0.10463033782483126,-0.10465533782483126,2.5e-05,0,0.0,2,0,0.0
