date,arm,offset,split,is_holdout,cycle_id,equity,cash_free,cash_pending,holdings_value,n_tickers,raw_n_tickers,log_ret_equity,turnover_gross_pct,defensive_sells_today,defensive_sell_rate,cash_idle_gt5,cash_ratio,trade_cost_today,gross_sells_today,gross_buys_today,is_rebalance_day,had_scores,first_rebalance_expected_date,trigger_r1_today,trigger_leve_today,trigger_medio_today,trigger_grave_today
2021-01-04,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-05,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-06,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-07,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-08,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-11,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-12,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-13,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-14,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-15,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-19,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-20,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-21,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-22,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-25,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-26,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-27,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-28,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-01-29,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-01,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-02,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-03,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-04,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-05,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-08,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-09,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-10,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-11,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-12,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-16,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-17,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-18,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
2021-02-19,A0_R1,0,TRAIN,0,-1,100000.0,100000.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0,0,2021-04-06,0,0,0,0
