arm,split,n_days,n_cycles,equity_final,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,avg_tickers,cash_idle_days_pct,turnover_mean_pct,defensive_sells_total,defensive_sells_per_cycle,offset
Zero-A,TRAIN,503,45,71386.11281413272,-0.04514201308739732,-0.5628531476317155,0.0,17.63220675944334,12.524850894632205,8.133876303704895,0,0.0,0
A0_R1,TRAIN,503,45,71540.07050984648,-0.037744462362224424,-0.6859864663093826,0.025944333996023857,14.475149105367793,81.70974155069582,10.593434793246152,261,5.8,0
A1_LEVE,TRAIN,503,45,79148.14464158678,-0.024895324155078967,-0.8622542438017137,0.07087475149105367,6.137176938369781,99.00596421471172,15.314936562267675,713,15.844444444444445,0
A2_MEDIO,TRAIN,503,45,70754.82911286567,-0.03567210615407681,-0.7528020168999053,0.032206759443339956,13.864811133200796,84.89065606361828,10.85639370490635,324,7.2,0
A3_GRAVE,TRAIN,503,45,71415.69614032934,-0.037739037562954256,-0.6895531787454406,0.02624254473161034,14.473161033797217,81.90854870775348,10.593115582847954,264,5.866666666666666,0
Zero-A,TRAIN,503,45,74752.74701696949,-0.04550568910550755,-0.46987917317036043,0.0,17.624254473161034,12.72365805168986,8.206788172795926,0,0.0,1
A0_R1,TRAIN,503,45,80054.92918321236,-0.03747967604814877,-0.4395128184760545,0.024353876739562623,14.699801192842942,85.88469184890656,10.472570613671541,245,5.444444444444445,1
A1_LEVE,TRAIN,503,45,83821.75485120389,-0.02265997260151966,-0.6747740903981528,0.07147117296222665,6.153081510934394,98.2107355864811,15.248791525837783,719,15.977777777777778,1
A2_MEDIO,TRAIN,503,45,81647.87298835805,-0.0349595043685696,-0.4259371307370705,0.029920477137176937,14.097415506958251,86.67992047713717,10.696347452252416,301,6.688888888888889,1
A3_GRAVE,TRAIN,503,45,80054.92918321236,-0.03747967604814877,-0.4395128184760545,0.024353876739562623,14.699801192842942,85.88469184890656,10.472570613671541,245,5.444444444444445,1
Zero-A,TRAIN,503,45,84034.67635488126,-0.04594366182698779,-0.28399011382905986,0.0,17.433399602385688,12.922465208747516,8.086539514906116,0,0.0,2
A0_R1,TRAIN,503,45,87175.88086269754,-0.03743644097613964,-0.2719513220759228,0.024353876739562623,14.530815109343937,83.1013916500994,10.584975652799374,245,5.444444444444445,2
A1_LEVE,TRAIN,503,45,89564.31042791411,-0.024714675900646743,-0.3796240019399546,0.07017892644135189,6.4115308151093435,99.00596421471172,15.200319351077022,706,15.688888888888888,2
A2_MEDIO,TRAIN,503,45,84259.58753899194,-0.03674765104290976,-0.35312363214043363,0.030019880715705764,14.073558648111332,82.90258449304176,10.852728857904795,302,6.711111111111111,2
A3_GRAVE,TRAIN,503,45,87179.59655519758,-0.03743909536798768,-0.27184645474791735,0.024453280318091453,14.526838966202783,83.49900596421472,10.586153234167126,246,5.466666666666667,2
Zero-A,TRAIN,503,45,80674.27133195772,-0.046667438675678255,-0.3520446732079694,0.0,17.421471172962228,13.12127236580517,7.622150948545987,0,0.0,3
