arm,split,n_days,n_cycles,equity_final,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,avg_tickers,cash_idle_days_pct,turnover_mean_pct,defensive_sells_total,defensive_sells_per_cycle,offset
Zero-A,SW1,374,38,92545.45618617437,-0.041876948664738546,0.5131048870702094,0.0,18.962566844919785,0.0,7.719711735699778,0,0.0,0
A0_R1,SW1,374,38,82526.4895343048,-0.03592130074185187,0.3459358509123702,0.023529411764705885,17.018716577540108,86.36363636363636,10.85321301073229,176,4.631578947368421,0
A1_LEVE,SW1,374,38,79584.72228778263,-0.02209904596970176,0.0223532968520037,0.07994652406417112,7.540106951871658,98.66310160427807,17.167430159355764,598,15.736842105263158,0
A2_MEDIO,SW1,374,38,76587.72309468228,-0.035198283014526516,0.201084439753826,0.031684491978609626,16.181818181818183,87.70053475935828,11.62842844522615,237,6.2368421052631575,0
A3_GRAVE,SW1,374,38,81994.73738322101,-0.03591052334008688,0.334993173148423,0.024331550802139036,16.906417112299465,86.36363636363636,10.873599798708886,182,4.7894736842105265,0
Zero-A,SW1,374,39,91778.98943334863,-0.04049960065442506,0.41799072337421694,0.0,19.101604278074866,0.0,7.9594208556108,0,0.0,1
A0_R1,SW1,374,39,84660.5260469612,-0.03408669050398365,0.14052646383508635,0.025802139037433156,16.81283422459893,86.36363636363636,11.109781972123587,193,4.948717948717949,1
A1_LEVE,SW1,374,39,73913.81929967877,-0.02287898222546739,-0.5294321046483662,0.07834224598930481,7.767379679144385,98.93048128342245,17.393975782534856,586,15.025641025641026,1
A2_MEDIO,SW1,374,39,81562.41268793006,-0.03244773905309197,-0.002770090451926651,0.034224598930481284,16.02673796791444,89.3048128342246,11.73283922250589,256,6.564102564102564,1
A3_GRAVE,SW1,374,39,84587.4468642339,-0.03397281817953285,0.1386847299384072,0.02660427807486631,16.764705882352942,86.36363636363636,11.12742799381823,199,5.102564102564102,1
Zero-A,SW1,374,39,103449.42724233607,-0.04178397319474072,0.4191507535112623,0.0,18.919786096256683,0.0,8.026949085485155,0,0.0,2
A0_R1,SW1,374,39,91092.35703110187,-0.03524550477781531,0.10852304098631578,0.02540106951871658,16.467914438502675,82.88770053475936,11.333456103791203,190,4.871794871794871,2
A1_LEVE,SW1,374,39,89817.39037623923,-0.02285271411350469,0.012109036784950462,0.08288770053475937,6.617647058823529,98.1283422459893,18.023982161239473,620,15.897435897435898,2
A2_MEDIO,SW1,374,39,82011.30650518766,-0.033534055724834824,-0.07080594566690328,0.03582887700534759,15.628342245989305,85.8288770053476,12.130618854394097,268,6.871794871794871,2
A3_GRAVE,SW1,374,39,91614.08707302676,-0.0352331657353867,0.12250245024897552,0.025668449197860963,16.441176470588236,82.88770053475936,11.354498887963588,192,4.923076923076923,2
Zero-A,SW1,374,39,96063.81185025329,-0.04103210504354232,0.35589604980013617,0.0,18.614973262032084,0.0,8.044959954217285,0,0.0,3
A0_R1,SW1,374,39,71893.13545994589,-0.034291381169066736,-0.28364532355759425,0.026203208556149736,16.40909090909091,84.49197860962568,11.569717740960233,196,5.0256410256410255,3
A1_LEVE,SW1,374,39,67381.99318471934,-0.02106095546507093,-0.9222641189526655,0.07887700534759358,7.46524064171123,98.66310160427807,17.358509419536418,590,15.128205128205128,3
A2_MEDIO,SW1,374,39,64340.4315624817,-0.03295989216501596,-0.4904201269708784,0.038101604278074866,15.47860962566845,87.43315508021391,12.465861006113716,285,7.3076923076923075,3
